effect,group,term,estimate,std.error
fixed,raw-sr,Intercept,132.47,13.02
fixed,raw-sr,Forest Canopy Height,21.77,2.03
fixed,raw-sr,Site Accessibility,5.56,1.64
fixed,raw-sr,HDI,-7.73,10.27
fixed,raw-sr,PA,27.04,4.71
fixed,raw-fr,Intercept,220.69,12.36
fixed,raw-fr,Forest Canopy Height,33.8,3.07
fixed,raw-fr,Site Accessibility,6.1,2.47
fixed,raw-fr,HDI,-22.16,9.62
fixed,raw-fr,PA,24.02,6.63
fixed,raw-pd,Intercept,2.96,0.28
fixed,raw-pd,Forest Canopy Height,0.07,0.03
fixed,raw-pd,Site Accessibility,-0.08,0.03
fixed,raw-pd,HDI,0.02,0.22
fixed,raw-pd,PA,0.38,0.08
