"station","awf_ptg","med_dist","taxon","PA_ours"
"L1346717",40756.9901789554,10,"bird",0
"L3348868",54104.4237575237,10,"bird",0
"L4043203",0,10,"bird",0
"L4046319",0,10,"bird",0
"L4050091",0,10,"bird",0
"L4050097",0,10,"bird",0
"L1834625",60648.9246116448,10,"bird",1
"L971358",54303.6919386886,10,"bird",0
"L2215001",0,10,"bird",0
"L1834392",60649.6006356283,10,"bird",1
"L1428859",14392.8100915209,10,"bird",1
"L3991252",0,10,"bird",0
"L1320021",0,10,"bird",0
"L3517482",0,10,"bird",0
"L4076250",0,10,"bird",0
"L4373747",0,10,"bird",0
"L1229285",42890.053449336,10,"bird",0
"L1865894",1204.74207727209,10,"bird",0
"L1125873",11442.1825514024,10,"bird",1
"L1333393",142.415328078324,10,"bird",0
"L3297129",909.454261330226,10,"bird",0
"L1084299",8405.07802969071,10,"bird",0
"L971293",13292.8276322256,10,"bird",1
"L920991",10919.9921308224,10,"bird",1
"L3712816",60648.9246116448,10,"bird",1
"L3547245",28.3033062874449,10,"bird",0
"L1859193",60650.2935648183,10,"bird",1
"L1865896",5313.0057513707,10,"bird",1
"L2959776",405.802387182609,10,"bird",1
"L4190260",0,10,"bird",0
"L5059188",0,10,"bird",0
"L5230512",0,10,"bird",0
"L1424319",7016.27704127619,10,"bird",0
"L1320023",2327.12842238339,10,"bird",0
"L1437433",36023.5813851332,10,"bird",0
"L3164656",42947.0363348263,10,"bird",0
"L4225511",0,10,"bird",0
"L1834571",8406.86663027723,10,"bird",0
"L4373785",0,10,"bird",0
"L4342866",0,10,"bird",0
"L5744339",0,10,"bird",0
"L4955523",0,10,"bird",0
"L3846527",24994.2188403334,10,"bird",0
"L3891059",0,10,"bird",0
"L6651966",0,10,"bird",0
"L6818652",0,10,"bird",0
"L4046344",0,10,"bird",0
"L2041802",23558.222109197,10,"bird",0
"L4054662",2019.93273638065,10,"bird",0
"L7016655",139.049157652057,10,"bird",0
"L3046338",0,10,"bird",0
"L1110389",3443.32168066533,10,"bird",1
"L4129597",16135.1967965425,10,"bird",1
"L3765606",6997.2562851161,10,"bird",0
"L1834599",8340.04257077564,10,"bird",0
"L4351000",0,10,"bird",0
"L3337619",885.83716441468,10,"bird",0
"L920987",9051.31923177848,10,"bird",1
"L4943439",60652.8441591418,10,"bird",1
"L7011020",148.976603551643,10,"bird",0
"L11949896",0,10,"bird",0
"L11328103",0,10,"bird",0
"L12032467",0,10,"bird",0
"L12486656",0,10,"bird",0
"L12919659",0,10,"bird",0
"L9897268",0,10,"bird",0
"L2041803",60648.9246116448,10,"bird",1
"L12944164",56378.1452174016,10,"bird",0
"L14087870",0,10,"bird",0
