"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
"L5744339",0,0,0,0,0,0,0,0,"1"
"L6818652",0,0,0,0,0,0,0,0,"1"
"L7016655",0,0,0,0,0,0,0,0,"1"
"L7011020",0,0,0,0,0,0,0,0,"1"
"L7115394",0,0,0,0,0,0,0,0,"1"
"L4050091",0,0,0,0,0,0,0,0,"1"
"L6651966",0,0,0,0,0,0,0,0,"1"
"L2215001",0,0,0,0,0,0,0,0,"1"
"L1333393",0,0,0,0,0,0,0,0,"1"
"L4050097",0,0,0,0,0,0,0,0,"1"
"L3846527",0,0,0,0,0,0,0,0,"1"
"L4225511",0,0,0,0,0,0,0,0,"1"
"L1320021",0,0,0,0,0,0,0,0,"1"
"L4043203",0,0,0,0,0,0,0,0,"1"
"L4373747",0,0,0,0,0,0,0,0,"1"
"L3891059",0,0,0,0,0,0,0,0,"1"
"L4955523",0,0,0,0,0,0,0,0,"1"
"L3547245",0,0,0,0,0,0,0,0,"1"
"L4046319",0,0,0,0,0,0,0,0,"1"
"L4076250",0,0,0,0,0,0,0,0,"1"
"L1865894",0,0,0,0,0,0,0,0,"1"
"L4129597",1,137.472375537149,0,0,10.7814383838248,743.919248483912,0,0,"1"
"L4190260",0,0,0,0,0,0,0,0,"1"
"L4046344",0,0,0,0,0,0,0,0,"1"
"L5059188",0,0,0,0,0,0,0,0,"1"
"L4342866",0,0,0,0,0,0,0,0,"1"
"L3164656",0,0,0,0,0,0,0,0,"1"
"L3517482",0,0,0,0,0,0,0,0,"1"
"L1320023",0.43509725677561,0.070981071675943,0.43509725677561,0.070981071675943,0.891072032748114,2.67321609824434,0.891072032748114,2.67321609824434,"1"
"L4054662",0.111700725080948,172.621570540212,0.111700725080948,172.621570540212,0.694551315961715,9.02916710750229,0.694551315961715,9.02916710750229,"1"
"L1229285",0,0,0,0,0,0,0,0,"1"
"L3991252",0,0,0,0,0,0,0,0,"1"
"L3046338",0,0,0,0,0,0,0,0,"1"
"L1346717",0,0,0,0,0,0,0,0,"1"
"L3297129",0,0,0,0,0,0,0,0,"1"
"L3337619",0,0,0,0,0,0,0,0,"1"
"L1084299",0.127780390350882,17.5662738086,0.127780390350882,17.5662738086,1.17036977993362,21.0666560388052,1.17036977993362,21.0666560388052,"1"
"L1834625",1,4099.12183636707,0,0,12.8474076215989,1259.0459469167,0,0,"1"
"L1865896",1,1545.39346468087,0,0,12.8165216974627,1268.83564804881,0,0,"1"
"L4351000",0,0,0,0,0,0,0,0,"1"
"L3348868",0.325980957769047,329.48320881945,0.325980957769047,329.48320881945,1.99125716246,39.8251432492,1.99125716246,39.8251432492,"1"
"L2041802",0.671493308902342,50.0439516213889,0.671493308902342,50.0439516213889,8.86401572607238,522.97692783827,8.86401572607238,522.97692783827,"1"
"L1267663",1.1962923204569,448.71585388378,1,380.960746017484,12.9258127056616,1305.50708327182,2.5250748894305,75.7522466829149,"1"
"L1110389",1.39561298502206,2977.40436253418,2,426.964655037332,12.8715971605729,1248.54492457557,2.10961085889822,50.6306606135574,"1"
"L971358",0.417380529734181,80.1427472924352,0.417380529734181,80.1427472924352,2.22424577237362,40.0364239027251,2.22424577237362,40.0364239027251,"1"
"L3712816",1,1336.17931250977,0,0,12.9550706941064,1308.46214010474,0,0,"1"
"L5230512",0,0,0,0,0,0,0,0,"1"
"L1424319",0.254036894514839,734.915521262785,0.254036894514839,734.915521262785,2.92996622114278,93.7589190765689,2.92996622114278,93.7589190765689,"1"
"L4943439",2,1432.03483947284,0,0,10.0220274518305,651.431784368983,0,0,"1"
"L3765606",0.735590439866283,2128.02487836535,0.735590439866283,2128.02487836535,7.41469834934728,385.564314166059,7.41469834934728,385.564314166059,"1"
"L1859193",1,2926.3264211224,0,0,12.8453170902264,1258.84107484219,0,0,"1"
"L1428859",1,137.472375537149,0,0,11.3076400223689,836.765361655302,0,0,"1"
"L1125873",1,137.472375537149,0,0,12.8219423201159,1230.90646273113,0,0,"1"
"L1834599",0.140056246457709,405.175435513617,0.140056246457709,405.175435513617,1.59305924829734,36.6403627108389,1.59305924829734,36.6403627108389,"1"
"L920991",1,137.472375537149,0,0,12.069559968602,965.564797488163,0,0,"1"
"L971293",1,137.472375537149,0,0,12.5434045610849,1141.44981505873,0,0,"1"
"L1834392",1.05213199325292,1923.22604684644,1,412.724738436341,12.8437173669646,1258.68430196254,0.225364975626775,1.12682487813388,"1"
"L1437433",0,0,0,0,0,0,0,0,"1"
"L2959776",1.19836383210033,11.3314123634905,0.832338221663009,0.221485458207958,6.93449911507637,180.296976991986,0.652194363416565,2.60877745366626,"1"
"L920987",1,126.517091034846,0,0,12.8269557975498,1231.38775656478,0,0,"1"
"L4373785",0,0,0,0,0,0,0,0,"1"
"L1834571",0.0720491682094042,9.90477030922241,0.0720491682094042,9.90477030922241,0.528266366389676,5.81093003028644,0.528266366389676,5.81093003028644,"1"
"L4321855",0,0,0,0,0,0,0,0,"1"
"L15708087",0,0,0,0,0,0,0,0,"1"
"L12842580",0,0,0,0,0,0,0,0,"1"
"L14101393",0,0,0,0,0,0,0,0,"1"
"L14087870",0,0,0,0,0,0,0,0,"1"
"L3702018",0,0,0,0,0,0,0,0,"1"
"L11949896",0,0,0,0,0,0,0,0,"1"
"L14307410",0,0,0,0,0,0,0,0,"1"
"L12944164",0.492271223978716,209.643296231063,0.492271223978716,209.643296231063,5.5718118100626,273.018778693067,5.5718118100626,273.018778693067,"1"
"L5813608",0,0,0,0,0,0,0,0,"1"
"L12486656",0,0,0,0,0,0,0,0,"1"
"L4690619",0.99884467104378,8.3346230251878,0.99884467104378,8.3346230251878,5.3285292927867,170.512937369174,5.3285292927867,170.512937369174,"1"
"L12717169",0,0,0,0,0,0,0,0,"1"
"L14303503",0,0,0,0,0,0,0,0,"1"
"L12919659",0,0,0,0,0,0,0,0,"1"
"L13918536",0,0,0,0,0,0,0,0,"1"
"L15121088",0,0,0,0,0,0,0,0,"1"
"L11096427",0,0,0,0,0,0,0,0,"1"
"L12366927",0,0,0,0,0,0,0,0,"1"
"L15541845",0,0,0,0,0,0,0,0,"1"
"L15900406",0,0,0,0,0,0,0,0,"1"
"L7105732",1,2563.15832714154,0,0,10.5006565782951,714.044647324068,0,0,"1"
"L12032467",0,0,0,0,0,0,0,0,"1"
"L11120668",0,0,0,0,0,0,0,0,"1"
"L5765850",0,0,0,0,0,0,0,0,"1"
"L8578157",0,0,0,0,0,0,0,0,"1"
"L5549012",0,0,0,0,0,0,0,0,"1"
"L933407",0,0,0,0,0,0,0,0,"1"
"L11062260",0,0,0,0,0,0,0,0,"1"
"L11192025",0,0,0,0,0,0,0,0,"1"
"L12157999",0,0,0,0,0,0,0,0,"1"
"L8953692",0,0,0,0,0,0,0,0,"1"
"L11045982",0,0,0,0,0,0,0,0,"1"
"L8285577",0,0,0,0,0,0,0,0,"1"
"L11149725",0,0,0,0,0,0,0,0,"1"
"L6749002",0,0,0,0,0,0,0,0,"1"
"L11203823",0,0,0,0,0,0,0,0,"1"
"L10103280",0,0,0,0,0,0,0,0,"1"
"L12806252",0,0,0,0,0,0,0,0,"1"
"L6442244",0.469505849027942,425.464223963603,0.469505849027942,425.464223963603,8.66760238920597,580.7293600768,8.66760238920597,580.7293600768,"1"
"L1864352",0,0,0,0,0,0,0,0,"1"
"L8362707",1.89424626397259,7796.02906842262,1.89424626397259,7796.02906842262,6.65556072438634,366.055839841249,6.65556072438634,366.055839841249,"1"
"L8822657",0,0,0,0,0,0,0,0,"1"
"L5818627",1,66.6828111655854,0,0,9.30752618443468,521.221466328342,0,0,"1"
"L1864354",0,0,0,0,0,0,0,0,"1"
"L2322415",1,1283.49728226173,0,0,12.6559523021654,1265.59523021654,0,0,"1"
"L6748949",0,0,0,0,0,0,0,0,"1"
"L2415262",0,0,0,0,0,0,0,0,"1"
"L2356004",1.16984600589383,9.68622763565643,1,8.69381754021561,6.10226755982517,176.96575923493,0.981484965006167,11.777819580074,"1"
"L2714749",2,25002.9677898618,0,0,11.5179615145162,955.990805704842,0,0,"1"
"L2181729",2,25002.9677898618,0,0,12.6118365487812,1261.18365487812,0,0,"1"
"L1864965",0,0,0,0,0,0,0,0,"1"
"L11005604",0,0,0,0,0,0,0,0,"1"
"L6061410",0,0,0,0,0,0,0,0,"1"
"L11029030",0,0,0,0,0,0,0,0,"1"
"L1566977",2.40994188936051,20390.4619589521,2,17714.9857585608,9.81703472838771,677.375396258752,6.10733364481114,342.010684109424,"1"
"L11214774",0,0,0,0,0,0,0,0,"1"
"L11328808",0,0,0,0,0,0,0,0,"1"
"L6264416",1,989.227341745216,0,0,12.5560580954078,1142.60128668211,0,0,"1"
"L6755644",1,908.61952730768,0,0,11.3045610611228,881.755762767581,0,0,"1"
"L2714513",2,25002.9677898618,0,0,12.6069925806107,1222.87828031924,0,0,"1"
"L8455065",2.06316138009485,25.8269565992232,6.9448014812862,12.7080839023452,9.98958901561318,569.406573889951,5.81065412284944,214.994202545429,"1"
"L3510944",1.06049130292067,775.337556665994,1.06049130292067,775.337556665994,6.88871062676965,378.879084472331,6.88871062676965,378.879084472331,"1"
"L1093106",2.17636268791211,1604.57629676668,0.950045920236007,13.8016514969466,8.59646970817607,558.770531031445,1.17839809796535,18.8543695674455,"1"
"L3460495",0,0,0,0,0,0,0,0,"1"
"L4030676",0,0,0,0,0,0,0,0,"1"
"L3326557",0,0,0,0,0,0,0,0,"1"
"L1122096",0,0,0,0,0,0,0,0,"1"
"L1091515",1.11956092165675,588.522543013015,1,1272.68381090395,12.5717181544762,1232.02837913866,1.59663163204801,43.1090540652963,"1"
"L2688240",0.939730263043853,0.683417432821416,0.939730263043853,0.683417432821416,3.09666846255278,30.9666846255278,3.09666846255278,30.9666846255278,"1"
"L3355202",0.108468599526094,2.72077244166096,0.108468599526094,2.72077244166096,0.684054046795442,8.2086485615453,0.684054046795442,8.2086485615453,"1"
"L3542477",0.361032312859055,14.6792567144863,0.361032312859055,14.6792567144863,3.10842278040684,93.2526834122053,3.10842278040684,93.2526834122053,"1"
"L4166245",0,0,0,0,0,0,0,0,"1"
"L4112286",0,0,0,0,0,0,0,0,"1"
"L3896798",0,0,0,0,0,0,0,0,"1"
"L3395337",0,0,0,0,0,0,0,0,"1"
"L1915564",0.0857085335623468,4.25578691122643,0.0857085335623468,4.25578691122643,0.837252263561618,12.5587839534243,0.837252263561618,12.5587839534243,"1"
"L3493997",0,0,0,0,0,0,0,0,"1"
"L3346637",0,0,0,0,0,0,0,0,"1"
"L3409225",0,0,0,0,0,0,0,0,"1"
"L1783594",0,0,0,0,0,0,0,0,"1"
"L3110381",0,0,0,0,0,0,0,0,"1"
"L3044620",0,0,0,0,0,0,0,0,"1"
"L4790539",1.38919129314166,12.24558976404,1.38919129314166,12.24558976404,6.27402527658871,351.345415488968,6.27402527658871,351.345415488968,"1"
"L1093013",0,0,0,0,0,0,0,0,"1"
"L4527087",0,0,0,0,0,0,0,0,"1"
"L1119754",0.539778223132754,0.127988056184516,0.539778223132754,0.127988056184516,0.384157738239754,0.768315476479508,0.384157738239754,0.768315476479508,"1"
"L1313532",1.1600373234199,7.62118068632534,1.1600373234199,7.62118068632534,1.61368696131767,24.205304419765,1.61368696131767,24.205304419765,"1"
"L3522352",0.940405320872037,438.090766515852,0.940405320872037,438.090766515852,4.72865529296512,160.774279960814,4.72865529296512,160.774279960814,"1"
"L1457993",2,1602.01421392018,0,0,11.4299809948094,914.398479584755,0,0,"1"
"L7901178",0.101026016955077,0.131625331822807,0.101026016955077,0.131625331822807,0.319597835903278,1.91758701541967,0.319597835903278,1.91758701541967,"1"
"L4635419",0.143506043879519,0.430461841004507,0.143506043879519,0.430461841004507,0.304228462206799,1.82537077324079,0.304228462206799,1.82537077324079,"1"
"L1091511",2.75758638948159,2164.78452991275,2,1004.97173622327,12.5923629206023,1246.64392913962,11.3945139072791,831.799515231371,"1"
"L3354985",0,0,0,0,0,0,0,0,"1"
"L4189021",0,0,0,0,0,0,0,0,"1"
"L3008102",0,0,0,0,0,0,0,0,"1"
"L3960724",0,0,0,0,0,0,0,0,"1"
"L4103041",0,0,0,0,0,0,0,0,"1"
"L6189454",2.08625517930404,1603.68647268144,1.31741186763637,25.5411159727091,11.7809250468841,954.254928797614,0.4440429247915,3.1083004735405,"1"
"L3510052",0,0,0,0,0,0,0,0,"1"
"L1092374",0,0,0,0,0,0,0,0,"1"
"L924269",0.274716057697314,0.086591527464236,0.274716057697314,0.086591527464236,0.496327011083006,2.48163505541503,0.496327011083006,2.48163505541503,"1"
"L2266711",0,0,0,0,0,0,0,0,"1"
"L2822704",2.01380064472501,753.780520410426,2,1396.73099769534,11.6325895871293,977.137525318859,10.430910751135,844.903770841936,"1"
"L4177978",0,0,0,0,0,0,0,0,"1"
"L3510950",0.564596321514746,482.505121556089,0.564596321514746,482.505121556089,3.50662107132069,98.1853899969794,3.50662107132069,98.1853899969794,"1"
"L13312987",0,0,0,0,0,0,0,0,"1"
"L2715128",0,0,0,0,0,0,0,0,"1"
"L3042446",2.31046672374034,37.1105312280744,2.31046672374034,37.1105312280744,9.53860348840196,496.007381396902,9.53860348840196,496.007381396902,"1"
"L1530638",0.581053245991414,350.602628540392,0.581053245991414,350.602628540392,4.99709446073726,194.886683968753,4.99709446073726,194.886683968753,"1"
"L3081808",0,0,0,0,0,0,0,0,"1"
"L4015102",0,0,0,0,0,0,0,0,"1"
"L3797691",0,0,0,0,0,0,0,0,"1"
"L1119747",2.0564350677887,3.27645655410321,0.158890575602839,7.88958116376947,0.698662812645969,3.49331406322985,0.176254826167132,0.70501930466853,"1"
"L3365035",0.105404207060717,0.0249926307577704,0.105404207060717,0.0249926307577704,0.0762474018926781,0.152494803785356,0.0762474018926781,0.152494803785356,"1"
"L3262202",1.04066206577112,2124.77699184867,1.04066206577112,2124.77699184867,10.125755746797,749.305925262981,10.125755746797,749.305925262981,"1"
"L2521949",1.85415004597369,556.982601442797,1.85415004597369,556.982601442797,6.28842241154601,358.440077458122,6.28842241154601,358.440077458122,"1"
"L923936",2.39282576103888,1607.83086657803,1.7821778744987,17.8007072441099,10.2986715521325,731.205680201408,2.39936538845047,55.1854039343609,"1"
"L1119692",2.08333260730957,32.8652591172714,1.53193952207982,45.1155102512136,8.10087125298523,388.841820143291,6.58107622800678,296.148430260305,"1"
"L1838144",1.48735679822605,1313.1358598459,1.50702087199843,107.348917985882,11.4734140212722,871.97946561669,4.02835566078683,145.020803788326,"1"
"L3981946",0.23044583061419,9.36972505197706,0.23044583061419,9.36972505197706,1.56792117929948,29.7905024066901,1.56792117929948,29.7905024066901,"1"
"L3515484",0.940124044672712,658.092130208537,0.940124044672712,658.092130208537,6.41778123499398,327.306842984693,6.41778123499398,327.306842984693,"1"
"L3233220",0,0,0,0,0,0,0,0,"1"
"L2797520",0,0,0,0,0,0,0,0,"1"
"L15740765",0,0,0,0,0,0,0,0,"1"
"L2822716",0,0,0,0,0,0,0,0,"1"
