"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
L2215001,0,0,0,0,0,0,0,0,10
L4043203,0,0,0,0,0,0,0,0,10
L4050097,0,0,0,0,0,0,0,0,10
L5230512,0,0,0,0,0,0,0,0,10
L4955523,0,0,0,0,0,0,0,0,10
L6651966,0,0,0,0,0,0,0,0,10
L7115394,0,0,0,0,0,0,0,0,10
L4342866,0,0,0,0,0,0,0,0,10
L3991252,0,0,0,0,0,0,0,0,10
L4050091,0,0,0,0,0,0,0,0,10
L3517482,0,0,0,0,0,0,0,0,10
L4373747,0,0,0,0,0,0,0,0,10
L4076250,0,0,0,0,0,0,0,0,10
L4046319,0,0,0,0,0,0,0,0,10
L6818652,0,0,0,0,0,0,0,0,10
L4373785,0,0,0,0,0,0,0,0,10
L5744339,0,0,0,0,0,0,0,0,10
L3891059,0,0,0,0,0,0,0,0,10
L4225511,0,0,0,0,0,0,0,0,10
L2041802,3.1596011323595,2140.99042050301,3.1596011323595,2140.99042050301,434.12332117995,1256787.01481595,434.12332117995,1256787.01481595,10
L12919659,0,0,0,0,0,0,0,0,10
L1437433,1.28142069988836,1028.81718538975,1.28142069988836,1028.81718538975,161.026118553008,169721.528954871,161.026118553008,169721.528954871,10
L7011020,1.03603565590144,34.3398715940597,1.03603565590144,34.3398715940597,43.1314201840863,11386.6949285988,43.1314201840863,11386.6949285988,10
L14101393,0,0,0,0,0,0,0,0,10
L12486656,0,0,0,0,0,0,0,0,10
L7016655,0.885634032303587,27.8515394220463,0.885634032303587,27.8515394220463,36.7710823664153,9817.87899183288,36.7710823664153,9817.87899183288,10
L1320023,2.77738559760189,573.420609201403,2.77738559760189,573.420609201403,245.225234850564,374704.158851661,245.225234850564,374704.158851661,10
L3164656,3.72283145879074,3362.83101551775,3.72283145879074,3362.83101551775,633.747928890736,2689626.21021228,633.747928890736,2689626.21021228,10
L1428859,2.47098302706635,1008.21663652923,2.48797445867777,1538.66373456071,324.844399140948,678599.94980544,189.638804498216,357089.86887014,10
L4054662,1.45697956228489,1268.56873781235,1.45697956228489,1268.56873781235,329.743762532761,573754.146807004,329.743762532761,573754.146807004,10
L3846527,1.72780881245272,1446.70506521181,1.72780881245272,1446.70506521181,285.91768400747,782270.783444439,285.91768400747,782270.783444439,10
L12842580,0,0,0,0,0,0,0,0,10
L971358,2.27100680446501,1887.43124910035,2.27100680446501,1887.43124910035,303.102036398035,543158.849225278,303.102036398035,543158.849225278,10
L14307410,0,0,0,0,0,0,0,0,10
L12717169,0,0,0,0,0,0,0,0,10
L4321855,0,0,0,0,0,0,0,0,10
L12366927,0,0,0,0,0,0,0,0,10
L14087870,0,0,0,0,0,0,0,0,10
L4129597,2.42325745084577,969.537914165323,2.48797445867777,1538.66373456071,318.819722020633,636045.345431164,188.538366152171,337295.137046234,10
L14303503,0,0,0,0,0,0,0,0,10
L12944164,5.37408881028558,3627.58883582037,5.37408881028558,3627.58883582037,819.950755381187,4455612.40474137,819.950755381187,4455612.40474137,10
L3297129,0.408278211568733,811.445449633846,0.408278211568733,811.445449633846,110.773856729469,121740.468545686,110.773856729469,121740.468545686,10
L1333393,0.923117190224807,29.4118667519498,0.923117190224807,29.4118667519498,38.4246122572647,10259.3714726897,38.4246122572647,10259.3714726897,10
L1346717,1.83659748954295,1621.4986803429,1.83659748954295,1621.4986803429,355.038250370427,1024995.42881942,355.038250370427,1024995.42881942,10
L3547245,0.833165978930832,28.1647389909207,0.833165978930832,28.1647389909207,36.1247892357924,9356.32041207023,36.1247892357924,9356.32041207023,10
L1865894,1.46532008123032,1129.54786398015,1.46532008123032,1129.54786398015,287.723438314753,474455.949781028,287.723438314753,474455.949781028,10
L15708087,0,0,0,0,0,0,0,0,10
L1084299,3.05100402307911,1759.55995757555,3.05100402307911,1759.55995757555,364.263021620863,921585.444700784,364.263021620863,921585.444700784,10
L5059188,0,0,0,0,0,0,0,0,10
L15121088,0,0,0,0,0,0,0,0,10
L15541845,0,0,0,0,0,0,0,0,10
L4190260,0,0,0,0,0,0,0,0,10
L15900406,0,0,0,0,0,0,0,0,10
L1267663,2.66395250884914,1897.95604965434,3.14950240575661,2350.89334004177,573.138183618106,1482708.48102004,329.457972966196,692520.659174943,10
L1110389,5.24974822566695,3267.78710765536,9.17227597669208,487.059097394138,655.952409538804,1461461.96845245,152.05807982593,64016.4516067167,10
L1320021,0,0,0,0,0,0,0,0,10
L12032467,0,0,0,0,0,0,0,0,10
L2356004,2.96999151855247,302.424020815584,2.30096400198229,328.204936592758,152.370579011288,200672.052557867,137.453125080546,178689.06260471,10
L11328103,0,0,0,0,0,0,0,0,10
L10957210,0,0,0,0,0,0,0,0,10
L9897268,0,0,0,0,0,0,0,0,10
L2129865,2.07817267390327,1009.76276162494,2.07817267390327,1009.76276162494,350.15253103824,677545.147558995,350.15253103824,677545.147558995,10
L10997855,0,0,0,0,0,0,0,0,10
L11949896,0,0,0,0,0,0,0,0,10
L1229285,4.85673252653489,3513.61061670054,4.85673252653489,3513.61061670054,803.432061069156,4333712.53740703,803.432061069156,4333712.53740703,10
L3517470,3.00493598832366,3986.12050897229,4.22449430139685,7292.15658732197,811.102176931224,3533972.18488934,582.61173770823,2326951.28040667,10
L7773832,0,0,0,0,0,0,0,0,10
L971293,2.53136101195841,1117.98148127489,2.48797445867777,1538.66373456071,333.404159776223,703482.777127829,195.607452203998,372436.588996412,10
L1125873,2.66631349959594,1215.63416821225,2.48797445867777,1538.66373456071,347.54988142039,786157.831772921,207.333434048115,426277.540402925,10
L920991,2.73281568090007,1301.10851909396,2.48797445867777,1538.66373456071,349.600110055103,800584.252026185,213.07692054887,444052.302423845,10
L4046344,0,0,0,0,0,0,0,0,10
L4351000,0,0,0,0,0,0,0,0,10
L3046338,0,0,0,0,0,0,0,0,10
L2114198,0.904001472496155,27.920280154268,0.904001472496155,27.920280154268,37.4258045245013,9992.68980804186,37.4258045245013,9992.68980804186,10
L3846512,1.80595045497819,1470.60807517916,1.80595045497819,1470.60807517916,230.521622325315,323882.879367067,230.521622325315,323882.879367067,10
L3594509,1.00541737174279,2251.24088696524,1.00541737174279,2251.24088696524,268.789373936154,430600.577045719,268.789373936154,430600.577045719,10
L1702135,1.85326446542299,3741.354630348,1.85326446542299,3741.354630348,703.625370095094,3814353.13128551,703.625370095094,3814353.13128551,10
L971362,1.8544457186166,671.425364650067,1.8544457186166,671.425364650067,91.2184194781136,86748.716923686,91.2184194781136,86748.716923686,10
L1865901,4.16739630862986,1460.07155997598,4.16739630862986,1460.07155997598,363.765632658133,872673.752746861,363.765632658133,872673.752746861,10
L1834571,3.0636182269735,1823.03487987346,3.0636182269735,1823.03487987346,362.802968340622,917165.903965092,362.802968340622,917165.903965092,10
L3765606,4.31048591837853,3036.03664806423,4.31048591837853,3036.03664806423,425.449413664989,1024056.73869163,425.449413664989,1024056.73869163,10
L1834606,2.52659285891563,1304.38142699121,2.56476560898524,1470.84721850295,471.573417737624,1053495.01522585,260.611106548152,455808.825352719,10
L3338404,3.29525062606461,2080.65922179597,3.22096896481472,2639.14601066771,433.483764861336,1260570.78821677,348.516451903432,970966.835002961,10
L1834599,3.34094920343898,2574.21036006084,3.34094920343898,2574.21036006084,362.04714077542,879412.504943495,362.04714077542,879412.504943495,10
L3337619,1.50648777231017,826.763600685234,1.50648777231017,826.763600685234,211.442710370576,296654.122649918,211.442710370576,296654.122649918,10
L1424319,4.00719542825411,2749.92409472158,4.00719542825411,2749.92409472158,413.52052932681,1011057.69420405,413.52052932681,1011057.69420405,10
L4429394,6.7675363232011,3305.6387645101,9.17227597669208,487.059097394138,635.994461924859,1509850.85260962,164.318547369981,82487.9107797305,10
L1865896,1.75863191910146,1853.82523452586,5.09814207297533,4771.93945656374,692.80401161054,1817224.92245445,39.3929488075513,26353.8827522518,10
L1859193,1.18394531174579,3131.22733249785,2.66309053952575,2918.97235458052,701.551929512049,2427369.67611169,16.4750441912761,5502.66475988622,10
L2959776,2.27413245023974,358.843846093222,1.46568602359966,400.901075601067,88.2985998512142,66753.7414875179,68.5561958314474,50251.6915444509,10
L920987,2.43348213957795,339.16867502637,2.2342833771262,328.567173410103,272.624483669264,306975.168611591,151.569481028856,145355.132306673,10
L3734044,1.19693163181199,3144.79912587934,2.66309053952575,2918.97235458052,716.461023441526,2513345.27023287,20.2857187316889,8154.85893013894,10
L3519306,3.18379664380584,3984.35885672957,10.9694974181644,4757.08234716289,852.822554451361,4004854.71570359,199.078926673253,419260.21957387,10
L3491985,2.33158046606557,3338.37266329534,5.92362985395141,6886.38927608459,941.172110296415,4914800.75996788,388.223955671874,1224458.35618909,10
L2041803,1.6122657577936,4416.00134948666,4.03592944490089,2193.50990894293,989.284638748248,5561758.23904265,68.5734965119244,71110.7158828656,10
L3712816,2.65427379737755,5791.65345752388,4.1380497351044,10062.5870712829,1156.12768006723,7985373.88622434,654.116136583728,3608104.60939584,10
L3348868,2.65363582247542,3103.93021620824,2.65363582247542,3103.93021620824,563.517806607088,2548227.52147725,563.517806607088,2548227.52147725,10
L1834625,2.34303226500135,5215.38846187246,4.1990300777221,3120.52420064407,1017.03931140267,5488961.16364021,325.126156985138,897998.445592952,10
L4690619,2.86954940954904,292.366901932108,2.86954940954904,292.366901932108,136.6446681428,173128.794536927,136.6446681428,173128.794536927,10
L2322415,1,1283.49728226173,0,0,622.077657152563,1023939.82367312,0,0,10
L11120668,0.419311855874554,46.193789684846,0.419311855874554,46.193789684846,11.6953842992473,2514.50762433817,11.6953842992473,2514.50762433817,10
L5813608,0.263392586071017,39.6036676015593,0.263392586071017,39.6036676015593,8.40443228730299,1327.90030139387,8.40443228730299,1327.90030139387,10
L5765850,0.264870595067617,39.7898775876736,0.264870595067617,39.7898775876736,8.52589827969636,1364.14372475142,8.52589827969636,1364.14372475142,10
L6442244,1.16979200941203,1166.75972413143,1.16979200941203,1166.75972413143,529.893981159723,853659.203648314,529.893981159723,853659.203648314,10
L3262202,3.06038009158193,2892.91757147736,3.06038009158193,2892.91757147736,722.036716860626,3114144.35981988,722.036716860626,3114144.35981988,10
L3981946,3.01754862577472,92.0320787684389,3.01754862577472,92.0320787684389,110.211894047799,58632.7276334292,110.211894047799,58632.7276334292,10
L3365035,3.80722904676162,639.217864760558,3.80722904676162,639.217864760558,171.089008147097,211637.103077959,171.089008147097,211637.103077959,10
L3510944,13.5935778010558,1448.5191142394,13.5935778010558,1448.5191142394,554.819056285691,1165120.01819995,554.819056285691,1165120.01819995,10
L2679335,3.30293724838719,737.396697013325,3.30293724838719,737.396697013325,247.493863454389,416779.666057191,247.493863454389,416779.666057191,10
L924266,14.6888071072284,1994.40189885622,14.6888071072284,1994.40189885622,650.489462565341,2048391.31761826,650.489462565341,2048391.31761826,10
L1906842,3.63562660623601,563.438223224514,3.63562660623601,563.438223224514,181.620289929334,235379.895748417,181.620289929334,235379.895748417,10
L4030676,3.11402832650625,80.9378889341108,3.11402832650625,80.9378889341108,24.0731289614889,6283.08665894861,24.0731289614889,6283.08665894861,10
L3008102,3.49407724542789,101.820853821971,3.49407724542789,101.820853821971,116.779961729174,67615.5978411919,116.779961729174,67615.5978411919,10
L2822716,2.99259506373777,153.809285027228,2.99259506373777,153.809285027228,46.2414894420954,30473.1415423409,46.2414894420954,30473.1415423409,10
L3510052,0.690588812003124,10.5800638294274,0.690588812003124,10.5800638294274,16.6670418711997,950.021386658381,16.6670418711997,950.021386658381,10
L1092374,8.88261623949893,1054.11499568727,8.88261623949893,1054.11499568727,263.059304277942,611349.823141936,263.059304277942,611349.823141936,10
L1783594,4.10326337046298,124.26947556075,4.10326337046298,124.26947556075,98.9661906472418,108565.911140024,98.9661906472418,108565.911140024,10
L3354988,1.005492676228,20.1182595138444,1.005492676228,20.1182595138444,31.4583468638874,1793.12577124158,31.4583468638874,1793.12577124158,10
L3409573,1.04305470521483,19.5237237949775,1.04305470521483,19.5237237949775,14.1148569793737,3542.82910182279,14.1148569793737,3542.82910182279,10
L2266711,11.4439311543978,1263.71492251442,11.4439311543978,1263.71492251442,546.064723848324,1631641.39485879,546.064723848324,1631641.39485879,10
L1915564,3.66443210795074,598.530566643418,3.66443210795074,598.530566643418,187.727931507226,249302.693041596,187.727931507226,249302.693041596,10
L2778060,13.2292298090561,1246.69186651618,13.2292298090561,1246.69186651618,429.363451424966,852286.451078557,429.363451424966,852286.451078557,10
L3493997,0.709590689381711,14.269010256993,0.709590689381711,14.269010256993,20.5960443960806,1153.37848618052,20.5960443960806,1153.37848618052,10
L1530638,4.52199475721556,853.123673482267,4.52199475721556,853.123673482267,411.866948052825,941115.976300704,411.866948052825,941115.976300704,10
L1049177,14.2290782797275,1974.57806989424,14.2290782797275,1974.57806989424,651.538437438781,1983283.00356365,651.538437438781,1983283.00356365,10
L4189021,2.52260962497139,12.5996488402372,2.52260962497139,12.5996488402372,29.44224142195,3827.4913848535,29.44224142195,3827.4913848535,10
L3354985,1.13216407311028,15.501708267778,1.13216407311028,15.501708267778,11.3918972437464,786.040909818501,11.3918972437464,786.040909818501,10
L3346637,0.584070624128769,15.321533088124,0.584070624128769,15.321533088124,7.6859187171893,722.476359415794,7.6859187171893,722.476359415794,10
L3326557,1.16379507569525,87.2456182194013,1.16379507569525,87.2456182194013,71.1232392173999,34921.5104557434,71.1232392173999,34921.5104557434,10
L4790539,16.3165669646976,407.022035485709,16.3165669646976,407.022035485709,314.955621736301,552747.116147208,314.955621736301,552747.116147208,10
L1119754,4.0746031788892,636.371320326088,4.0746031788892,636.371320326088,172.78072548027,210274.142909489,172.78072548027,210274.142909489,10
L2034077,1.85826293392832,3379.09715529811,1.85826293392832,3379.09715529811,598.089881274705,1685417.28543212,598.089881274705,1685417.28543212,10
L2522026,14.443137441555,2027.0443761844,14.443137441555,2027.0443761844,652.601378001886,1982602.98636973,652.601378001886,1982602.98636973,10
L1122096,2.71998543943435,213.628223856269,2.71998543943435,213.628223856269,163.093773118071,189841.151909435,163.093773118071,189841.151909435,10
L3409225,5.44196190137733,259.82697278659,5.44196190137733,259.82697278659,212.800914774626,350270.305719034,212.800914774626,350270.305719034,10
L1119692,7.16144237012467,77.2119742419303,6.51865216111105,80.0537703048507,109.798574750151,55448.2802488265,107.00081052705,53714.4068845789,10
L3328371,0.792714926088693,7.61790342882326,0.792714926088693,7.61790342882326,13.1434757033434,749.178115090572,13.1434757033434,749.178115090572,10
L1089168,15.9963898773597,413.497569282085,15.9963898773597,413.497569282085,314.251944850594,572252.791572932,314.251944850594,572252.791572932,10
L3522352,13.1483898195995,1202.93686735517,13.1483898195995,1202.93686735517,413.683442591941,829435.302396841,413.683442591941,829435.302396841,10
L3460495,2.25332955431879,65.1088761068884,2.25332955431879,65.1088761068884,80.9475566221291,41283.2538772858,80.9475566221291,41283.2538772858,10
L3042446,16.9975187288627,360.454137639737,16.9975187288627,360.454137639737,324.182147082621,556296.564393777,324.182147082621,556296.564393777,10
L2534212,7.40081320771292,78.4488299427484,7.40081320771292,78.4488299427484,106.776088659533,105174.44732964,106.776088659533,105174.44732964,10
L923936,5.63101118116777,1996.24844395272,9.42301639439574,1953.17792361797,410.799439345453,788734.923543269,131.969224812079,118640.333106059,10
L4491300,5.71912968520855,222.95280209358,5.71912968520855,222.95280209358,193.399365272704,305764.396496144,193.399365272704,305764.396496144,10
L3702018,0.469924409123562,1439.16449110421,0.469924409123562,1439.16449110421,82.5756214424438,65895.3459110702,82.5756214424438,65895.3459110702,10
L8362707,2.42897701900151,8242.39344313664,2.42897701900151,8242.39344313664,605.24375003513,2071749.35637025,605.24375003513,2071749.35637025,10
L933407,0.58421959035276,563.86142634149,0.58421959035276,563.86142634149,5.54038087336422,426.609327249045,5.54038087336422,426.609327249045,10
L8953692,0.596823451100343,339.806894925512,0.596823451100343,339.806894925512,94.0781372685398,88997.9178560387,94.0781372685398,88997.9178560387,10
L6189454,5.31401987821332,1947.21457235179,9.42301639439574,1953.17792361797,428.685924269182,796069.761367872,114.401034929336,93008.0413975498,10
L1122479,2.03918454764219,65.7726138513964,2.03918454764219,65.7726138513964,16.5902297234356,2455.35399906847,16.5902297234356,2455.35399906847,10
L1313532,4.2360377358298,614.751540229367,4.2360377358298,614.751540229367,172.793516089903,207352.219307884,172.793516089903,207352.219307884,10
L3797691,0.705988835928968,9.88843118977599,0.705988835928968,9.88843118977599,15.8916521664614,905.824173488298,15.8916521664614,905.824173488298,10
L1093013,3.6577820803648,656.068673157646,3.6577820803648,656.068673157646,197.498305618308,268202.699029662,197.498305618308,268202.699029662,10
L2699172,10.8297317228249,864.502489885957,10.8297317228249,864.502489885957,266.793116693999,535720.578321551,266.793116693999,535720.578321551,10
L3515484,13.5791006542348,1419.91233756286,13.5791006542348,1419.91233756286,546.776342377325,1145496.4372805,546.776342377325,1145496.4372805,10
L1457993,3.37789477649827,2897.75865122187,11.610385142103,7758.28816781949,377.381496874882,622302.088346681,43.7320595081972,23965.1686104921,10
L5818627,1.62832002567298,164.701396197559,1.10447261310088,131.964903675751,115.051535843989,58216.0771370584,42.7361707154829,17308.1491397706,10
L1093106,4.31745277183918,1736.38319747764,9.51185344376908,646.934962093879,385.887427434351,644432.003815366,66.6889383024195,41080.3859942904,10
L5549012,0,0,0,0,0,0,0,0,10
L12806252,1.43370210917605,119.924585935041,1.43370210917605,119.924585935041,71.7370983244524,40818.4089466134,71.7370983244524,40818.4089466134,10
L2415262,0.229391118264512,231.952249313889,0.229391118264512,231.952249313889,33.4610712495037,19273.5770397141,33.4610712495037,19273.5770397141,10
L6264416,1.58270296088081,1298.74566538751,1,531.176850679507,445.453239691797,580425.571318411,137.441086344445,93185.0565415335,10
L11214774,0.350902849065419,183.736027451516,0.350902849065419,183.736027451516,39.3065811728408,23072.9631484576,39.3065811728408,23072.9631484576,10
L6749002,0.189822554403722,275.007540983801,0.189822554403722,275.007540983801,35.0486446099037,14650.3334469398,35.0486446099037,14650.3334469398,10
L11045982,0.283525805865026,77.52672900396,0.283525805865026,77.52672900396,21.9588475032398,7487.96699860478,21.9588475032398,7487.96699860478,10
L11203823,0.453008460704478,288.106788091554,0.453008460704478,288.106788091554,70.3705574116327,64600.1717038788,70.3705574116327,64600.1717038788,10
L11149725,0.54922711985561,321.140007265778,0.54922711985561,321.140007265778,86.4990714295857,81482.1252866697,86.4990714295857,81482.1252866697,10
L12157999,0.603024661087988,358.292811769911,0.603024661087988,358.292811769911,101.111997946942,103134.237905881,101.111997946942,103134.237905881,10
L1864352,0.542306831825003,324.995064210293,0.542306831825003,324.995064210293,87.728084016265,85183.9695797933,87.728084016265,85183.9695797933,10
L15740765,0.121678788002968,241.361873891629,0.121678788002968,241.361873891629,17.174961714575,5015.08882065591,17.174961714575,5015.08882065591,10
L11062260,0.363436375812776,294.189352592333,0.363436375812776,294.189352592333,63.6727742816587,60998.517761829,63.6727742816587,60998.517761829,10
L1864965,0.054922158970411,263.842542153776,0.054922158970411,263.842542153776,2.98021823604158,193.714185342703,2.98021823604158,193.714185342703,10
L3542500,0.792683020107422,7.62304157419066,0.792683020107422,7.62304157419066,13.1508863869043,749.600524053544,13.1508863869043,749.600524053544,10
L11096427,0.412988464155622,253.528038460741,0.412988464155622,253.528038460741,55.8568451010867,43289.0549533422,55.8568451010867,43289.0549533422,10
L6061410,0.490474873748395,406.353474609078,0.490474873748395,406.353474609078,121.857724639138,177790.420248503,121.857724639138,177790.420248503,10
L3143474,0.82517086987173,12.2286937399945,0.82517086987173,12.2286937399945,20.4244841439468,1164.19559620497,20.4244841439468,1164.19559620497,10
L8285577,0,0,0,0,0,0,0,0,10
L13918536,1.21052706762889,3449.81955649401,1.21052706762889,3449.81955649401,491.736605124755,1885318.14404831,491.736605124755,1885318.14404831,10
L11192025,0.39032664791813,200.946951297123,0.39032664791813,200.946951297123,39.5186825990276,21300.5699208759,39.5186825990276,21300.5699208759,10
L8578157,0.196495174459524,185.288459086057,0.196495174459524,185.288459086057,35.8225718766511,16764.9636382727,35.8225718766511,16764.9636382727,10
L11328808,0.547459941485301,442.175558510576,0.547459941485301,442.175558510576,138.688281930018,208309.799458887,138.688281930018,208309.799458887,10
L11029030,0.552179081519572,318.588300312877,0.552179081519572,318.588300312877,85.6418905837221,79218.7487899429,85.6418905837221,79218.7487899429,10
L6748949,0.171787251052392,248.878694276802,0.171787251052392,248.878694276802,28.9310404695236,10154.7952048028,28.9310404695236,10154.7952048028,10
L8822657,0.459161482592297,310.603071298756,0.459161482592297,310.603071298756,79.3785963348326,81918.7114175472,79.3785963348326,81918.7114175472,10
L11005604,0.423912394949593,274.991295171833,0.423912394949593,274.991295171833,63.9152541118359,56245.4236184156,63.9152541118359,56245.4236184156,10
L1864354,0.0605373306516843,41.0867994223922,0.0605373306516843,41.0867994223922,2.19709511139369,98.8692800127159,2.19709511139369,98.8692800127159,10
L10103280,0.617139468495878,1178.84623234172,0.617139468495878,1178.84623234172,390.423873914435,813252.929363768,390.423873914435,813252.929363768,10
L7105732,1.61353295278315,3199.10107778172,1.71302806522574,2048.05600044054,672.570140212534,2518102.60495573,236.907580303557,334987.31854923,10
L4943439,3.41694681072697,3040.7115473281,7.079734758962,11873.4035194487,748.526470969721,3506846.51649314,360.182167907727,1199406.61913273,10
L1834392,2.91462703239011,4038.042151965,3.76185241199781,4084.00617578212,1015.82419622656,5123817.24576676,508.773720312658,1708462.1528099,10
L8455065,9.08590460098076,121.952218373525,10.4750327378214,115.724738172274,96.3458119749437,60216.1324843398,79.5717217373553,48140.8916511,10
L2989750,14.7767021439395,1984.46406790737,43.7860368347721,3213.42136093656,650.533495030206,2060239.57876066,544.983911943466,1509605.4360834,10
L4103041,6.69426953700226,325.844316775132,6.69426953700226,325.844316775132,136.69550862647,167862.084593305,136.69550862647,167862.084593305,10
L924269,10.8591546951331,684.841856130586,10.8591546951331,684.841856130586,271.200799449269,504433.48697564,271.200799449269,504433.48697564,10
L4176225,3.04914661637015,22.3413088075232,3.04914661637015,22.3413088075232,38.4779105585462,9504.04390796092,38.4779105585462,9504.04390796092,10
L3220747,0.792794103792469,7.62390748891794,0.792794103792469,7.62390748891794,13.1528906024919,749.714764342039,13.1528906024919,749.714764342039,10
L2947261,6.12611386183842,16.7521174396202,6.12611386183842,16.7521174396202,27.1556844281161,5784.16078318873,27.1556844281161,5784.16078318873,10
L3960724,1.10181945245513,243.976747787987,1.10181945245513,243.976747787987,147.154896359033,183355.000863355,147.154896359033,183355.000863355,10
L3081808,3.66009400164177,828.505399127628,3.66009400164177,828.505399127628,228.864479038439,328420.52742016,228.864479038439,328420.52742016,10
L4015102,1.06790092052603,6.48601402781569,1.06790092052603,6.48601402781569,12.9326471073074,853.554709082291,12.9326471073074,853.554709082291,10
L3354992,0.843183190985122,13.3249938289287,0.843183190985122,13.3249938289287,21.7940333313184,1242.25989988515,21.7940333313184,1242.25989988515,10
L2822704,5.19132887107158,1742.82646565673,4.55262184180067,1868.5800827736,518.092881594812,1416465.93828022,515.370585410096,1407477.06875497,10
L3355202,1.0148034045557,20.4283474437391,1.0148034045557,20.4283474437391,31.7999367431951,1812.59639436212,31.7999367431951,1812.59639436212,10
L3542477,3.17252031203041,94.7834383553652,3.17252031203041,94.7834383553652,116.490497731928,60924.5303137982,116.490497731928,60924.5303137982,10
L2521949,14.1604049003269,1936.68739647521,14.1604049003269,1936.68739647521,647.840007923269,2005064.82452252,647.840007923269,2005064.82452252,10
L2688240,12.056755041706,865.266115239539,12.056755041706,865.266115239539,323.045917850503,622832.52961577,323.045917850503,622832.52961577,10
L3896798,7.05794747550882,544.156123554823,7.05794747550882,544.156123554823,264.168374146889,534412.620899156,264.168374146889,534412.620899156,10
L4166245,3.84126619907144,32.5975066299732,3.84126619907144,32.5975066299732,42.0542564395328,10934.1066742785,42.0542564395328,10934.1066742785,10
L4112286,0.206935915617092,4.04330315325506,0.206935915617092,4.04330315325506,5.94921153676116,232.019249933685,5.94921153676116,232.019249933685,10
L3395337,5.63521260578976,14.1297854263252,5.63521260578976,14.1297854263252,24.1880590454377,4353.85062817878,24.1880590454377,4353.85062817878,10
L2715128,6.03670766347185,365.977161652316,6.03670766347185,365.977161652316,137.981155293,187102.446577308,137.981155293,187102.446577308,10
L13312987,9.06684365148966,885.836701240524,9.06684365148966,885.836701240524,321.497806900559,641066.626959715,321.497806900559,641066.626959715,10
L920979,3.06219064310979,2964.98283908198,4.96770699378522,2175.16314139138,757.192555542463,3386922.30094144,157.39783897099,270724.283030103,10
L1119747,4.33421784435348,636.181156844672,4.79774200224949,848.210397522121,173.839245689441,210867.005021292,172.902113230037,209557.361234804,10
L4177978,1.88264152719517,64.8046245257759,1.88264152719517,64.8046245257759,51.2709423854484,29890.9594107164,51.2709423854484,29890.9594107164,10
L4353562,7.2663385292427,79.8923146511957,7.2663385292427,79.8923146511957,117.369527845384,65609.5660655697,117.369527845384,65609.5660655697,10
L1838144,5.07232131610202,1777.1430012668,6.50093776101968,752.299881972875,486.833644968984,1239478.46009103,236.228592228371,371351.346982999,10
L2024310,3.15650187926354,381.591125283163,2.92721030039625,452.951433473441,139.424848008376,142910.469208585,77.265337918605,73015.7443330817,10
