"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
"L2215001",44.5431704686351,39029.1328454224,44.5431704686351,39029.1328454224,22103.5501668139,2773089300.3783,22103.5501668139,2773089300.3783,100
"L1834392",25.7308598774237,71990.7019847805,90.8652646584445,38510.1082189113,37915.9822607241,6225273463.45925,9716.72504039503,891839891.107617,100
"L1834625",27.6035346769264,72897.5279722105,85.7371021937371,38711.9119484995,35982.5941808072,6078755530.52884,10765.1920490514,1039207049.26313,100
"L3348868",32.0344544646515,74004.3861821827,32.0344544646515,74004.3861821827,34193.6595331718,5585123960.82922,34193.6595331718,5585123960.82922,100
"L1346717",35.6855068187753,73786.0851616633,35.6855068187753,73786.0851616633,32620.9703610895,5099538433.63804,32620.9703610895,5099538433.63804,100
"L3297129",49.6103458411222,53494.5352806195,49.6103458411222,53494.5352806195,27107.8160845597,4034212297.52025,27107.8160845597,4034212297.52025,100
"L1333393",39.168493738778,56442.5165448927,39.168493738778,56442.5165448927,28004.196834859,3867323574.50035,28004.196834859,3867323574.50035,100
"L1084299",39.9615576860036,66582.0569883124,39.9615576860036,66582.0569883124,30450.043866026,4662997917.46776,30450.043866026,4662997917.46776,100
"L3712816",20.3894209999291,70993.5919223823,76.4322908516757,36585.6275076195,36926.9477427704,5804103792.31317,9049.4299878389,767174476.649031,100
"L1865896",68.0054281322007,31950.0863089577,78.3409986988273,38374.0767480339,18676.1427499482,2069634111.12102,17024.342706952,1854563797.12452,100
"L1859193",25.512715050501,68458.0559172593,62.8197817447161,28745.76495243,26199.6859256882,3362834487.30578,7088.16011971471,430634079.913148,100
"L3547245",38.9720692962121,56646.2508655813,38.9720692962121,56646.2508655813,28031.3870927654,3873741476.51053,28031.3870927654,3873741476.51053,100
"L1865894",62.5343666582753,27645.7739353664,62.5343666582753,27645.7739353664,16449.1711422296,1777694823.68304,16449.1711422296,1777694823.68304,100
"L4050097",45.2758437159244,40293.5575150616,45.2758437159244,40293.5575150616,22763.2670901103,2869719555.51602,22763.2670901103,2869719555.51602,100
"L4043203",45.051672024774,40022.033773461,45.051672024774,40022.033773461,22604.9345335695,2846910665.02682,22604.9345335695,2846910665.02682,100
"L1428859",38.5458245380478,69976.0039077433,40.1037993722377,72972.6949186987,30490.5893483127,4765923039.85606,30314.6706743356,4732847644.35998,100
"L4050091",45.3022438271307,40329.2133213856,45.3022438271307,40329.2133213856,22782.7142752317,2872581312.10686,22782.7142752317,2872581312.10686,100
"L4046319",45.2802390532561,40376.3457935134,45.2802390532561,40376.3457935134,22797.2232862973,2875208598.0911,22797.2232862973,2875208598.0911,100
"L971358",28.9916154482919,70885.6192804093,28.9916154482919,70885.6192804093,31925.5427927093,4537162365.07147,31925.5427927093,4537162365.07147,100
"L3991252",44.1207279315434,40058.1320664342,44.1207279315434,40058.1320664342,22437.5288718869,2832042456.68069,22437.5288718869,2832042456.68069,100
"L4373747",45.0190060396586,40149.0820510121,45.0190060396586,40149.0820510121,22643.0020012279,2853856043.22876,22643.0020012279,2853856043.22876,100
"L4076250",45.0109739429968,40077.5165510253,45.0109739429968,40077.5165510253,22612.9826515118,2849145362.15988,22612.9826515118,2849145362.15988,100
"L3517482",44.472612670291,42220.610323749,44.472612670291,42220.610323749,23333.6696601958,2975136216.3536,23333.6696601958,2975136216.3536,100
"L1229285",25.2564661437478,66233.9902888522,25.2564661437478,66233.9902888522,27925.3397552634,3591198692.52688,27925.3397552634,3591198692.52688,100
"L1320021",44.6449140918798,39662.3685527471,44.6449140918798,39662.3685527471,22373.5629893244,2815310178.07267,22373.5629893244,2815310178.07267,100
"L971293",38.6951926642202,68975.9388166108,40.0363239322792,72318.9191796582,30604.1745845764,4754236105.01561,30427.940376376,4721260084.67925,100
"L920991",39.2020257814669,68058.9305333094,40.0708948968086,72354.8946532631,30488.2958517747,4718856478.75428,30312.2112267154,4686025357.96038,100
"L1125873",39.0659225221086,68876.2547874746,40.0719944416317,72970.7910055977,30440.1202940017,4725585154.68141,30263.4995527573,4692597713.65143,100
"L2959776",58.1936903720187,25418.2311036078,58.1534072478447,26057.0907049181,15108.9173829374,1611819306.41176,15082.3395505793,1608576760.08793,100
"L1424319",41.1293923219774,65460.7507468533,41.1293923219774,65460.7507468533,30271.3257108457,4588436737.27286,30271.3257108457,4588436737.27286,100
"L3046338",44.0598449447178,39882.6775893146,44.0598449447178,39882.6775893146,22349.2083534016,2818682157.531,22349.2083534016,2818682157.531,100
