"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
"L1865894",0,0,0,0,"0",0,0,0,10
"L3547245",0,0,0,0,"0",0,0,0,10
"L1424319",0,0,0,0,"0",0,0,0,10
"L2215001",0,0,0,0,"0",0,0,0,10
"L1834392",1,60648.9246116448,0,0,"0",0,0,0,10
"L4076250",0,0,0,0,"0",0,0,0,10
"L1320021",0,0,0,0,"0",0,0,0,10
"L3991252",0,0,0,0,"0",0,0,0,10
"L4373747",0,0,0,0,"0",0,0,0,10
"L3517482",0,0,0,0,"0",0,0,0,10
"L1229285",0,0,0,0,"0",0,0,0,10
"L3297129",0,0,0,0,"0",0,0,0,10
"L1333393",0,0,0,0,"0",0,0,0,10
"L4046319",0,0,0,0,"0",0,0,0,10
"L4050097",0,0,0,0,"0",0,0,0,10
"L971358",0,0,0,0,"0",0,0,0,10
"L4043203",0,0,0,0,"0",0,0,0,10
"L4050091",0,0,0,0,"0",0,0,0,10
"L1428859",1,142.1742005,0,0,"0.961559173821355",0.961559173821355,0,0,10
"L1084299",0,0,0,0,"0",0,0,0,10
"L1346717",0,0,0,0,"0",0,0,0,10
"L3348868",0,0,0,0,"0",0,0,0,10
"L1865896",1,1601.0460935,0,0,"0",0,0,0,10
"L3712816",1,60648.9246116448,0,0,"0",0,0,0,10
"L1859193",1,60648.9246116448,0,0,"0",0,0,0,10
"L1834625",1,60648.9246116448,0,0,"0",0,0,0,10
"L920991",1,142.1742005,0,0,"0",0,0,0,10
"L2959776",1,11.7075745,0,0,"0",0,0,0,10
"L971293",1,142.1742005,0,0,"0",0,0,0,10
"L1125873",1,142.1742005,0,0,"0.962131146103341",0.962131146103341,0,0,10
"L5230512",0,0,0,0,"0",0,0,0,10
"L1320023",0,0,0,0,"0",0,0,0,10
"L1834599",0,0,0,0,"0",0,0,0,10
"L7011020",0,0,0,0,"0",0,0,0,10
"L3046338",0,0,0,0,"0",0,0,0,10
"L3846527",0,0,0,0,"0",0,0,0,10
"L4054662",0,0,0,0,"0",0,0,0,10
"L4225511",0,0,0,0,"0",0,0,0,10
"L5744339",0,0,0,0,"0",0,0,0,10
"L3891059",0,0,0,0,"0",0,0,0,10
"L4351000",0,0,0,0,"0",0,0,0,10
"L3337619",0,0,0,0,"0",0,0,0,10
"L1110389",1,3431.65476827761,0,0,"0.964340256591216",0.964340256591216,0,0,10
"L4373785",0,0,0,0,"0",0,0,0,10
"L3164656",0,0,0,0,"0",0,0,0,10
