station,lat,long,country,elev,slope,TPI,access,access_log10,Hansen_recentloss,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,PA,PA_size_km2,dist_to_PA,PA_year,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pavd_0_5.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L2215001,11.5311611,104.9086189,Cambodia,13,0.249124601,0.3671875,17343.10156,4.239126767,0,27.78927422,8.229826927,0.63099587,0.003425607,34.42259979,21.37999916,13.04259968,27.62983513,27.03610039,29.14709663,26.40917397,1363,58.85210037,1.421249986,0.675878823,628.9417114,45.06174088,296.6887512,143.3944702,172.4762115,201.8370056,153.6269989,0.093935244,156.5980072,184.7216949,189.9666138,170.0360718,0.861233354,1.434116006,0.220670998,0.468321055,1.309015512,0.294451684,0.670113444,0.688755691,0,2553.178139,78.65526884,1993,1807300.246,1302163.289,2.01161414,45.08333333,152.1317435,3.110587488,0.020274713,0.177181598,1.385651419,0.064847233,2.558240407
L1834392,13.9303642,105.4954998,Cambodia,119,1.258455753,-0.6171875,7511.280273,3.875713967,0,26.78991508,9.195482254,0.562404513,0.004993513,34.59030151,18.23999977,16.35029984,26.72087288,25.4390316,28.81259918,24.80448914,1803.999878,87.20439911,0.613335013,0.857385099,968.9262085,25.41336823,278.5930481,79.03775024,162.3837128,197.6999969,128.7680054,0.128048927,137.5215454,175.827774,187.0457764,164.4129944,0.907177031,1.714115024,0.175441995,0.604099393,1.568113208,0.218508229,0.56683439,0.525445402,1,1908.727374,NA,2016,1859418.042,1576132.133,5.727922344,256.4724576,226.3953385,11.93073555,0.042395344,1.050095376,2.592054314,0.337398144,3.794149755
L1834625,13.9694812,104.8873769,Cambodia,73,0.450852573,0.09375,10570.29688,4.024087185,0,27.17036247,9.405765533,0.562502027,0.00521149,35.06129837,18.34000015,16.72130013,27.24900436,25.64332008,29.20988464,25.02764702,1695.999878,83.84259796,0.546734989,0.864239872,919.8927002,23.91476631,290.5958252,80.01055908,162.9828796,198.5500031,127.8570023,0.13294819,136.1491547,178.1218414,184.8348389,166.9538422,0.871417999,1.667332053,0.160016,0.610116184,1.517457962,0.211317003,0.596739352,0.514360189,1,4114.284962,NA,1993,1792158.894,1577054.565,6.065968768,353.7473647,294.4595493,10.38945362,0.045393922,0.90647934,2.544385526,0.303873427,3.580190555
L3348868,13.6379795,104.4607544,Cambodia,100,2.107915878,0.1171875,10435.39648,4.018508954,0,27.0382061,9.424482346,0.563500106,0.005451886,34.75159836,18.02669907,16.72489929,27.25993919,25.64417267,29.04344559,24.70730019,1436.000122,69.76029968,0.362219006,0.811875045,741.6107178,24.13829041,254.9076843,65.38907623,164.1177521,197.9700012,130.0110016,0.129987553,137.798233,181.7162323,185.361618,170.7450714,0.82274878,1.516940951,0.168244004,0.573982775,1.377992868,0.217388079,0.556425452,0.479204923,0,5030.117777,1.634759521,2017,1747024.964,1537387.707,3.655707955,127.3269231,254.2569525,4.60498557,0.086653471,0.686976531,1.751833084,0.244691514,2.897973577
L1346717,13.4616668,104.2281221,Cambodia,77,0.412687719,0.609375,12807.67969,4.107470458,0,27.08025551,9.342594147,0.565364659,0.005508631,34.65159988,18.12669945,16.52490044,27.27591133,25.65502357,29.0779953,24.70969963,1347,64.24559784,0.362300992,0.790818393,683.3500977,23.90694046,239.6102142,97.89774323,164.3146362,197.2700043,131.1620026,0.12747106,139.0573883,181.5505371,185.2555389,169.0081482,0.807978511,1.45944798,0.172352001,0.559393406,1.33267796,0.220828459,0.537704766,0.569492042,0,375.338466,5.805752184,1993,1722339.745,1516337.512,2.959376076,118,203.4798755,3.379167312,0.022293928,0.17225372,1.72025733,0.079120226,2.680689882
L3297129,13.0956772,103.2055157,Cambodia,40,0.162102714,0.2265625,14794.42969,4.170098228,0,27.468153,9.232233047,0.57755959,0.004905046,35.25159836,19.26670074,15.98490047,27.39839554,25.87120819,29.24972343,25.37016106,1263.999878,51.53540039,1.118160009,0.654955745,568.8148804,45.0155983,298.5563049,102.01548,159.2826385,191.4199982,122.4629974,0.13948521,134.5865326,176.5438538,176.525238,169.5274658,0.827918708,1.323886991,0.227742001,0.456448138,1.244737029,0.30435431,0.66509068,0.620277405,0,2904.057204,19.07465995,1993,1611593.587,1470323.397,1.998639413,41.875,112.7576045,8.421913634,0.052828833,1.123185575,2.242048956,0.360887511,3.524981397
L1333393,12.2533724,105.1063417,Cambodia,20,0.205280125,0.453125,10730.68848,4.030627587,0,27.75872231,8.737373352,0.612066567,0.004071261,34.84189987,20.56669998,14.27519989,27.68070412,26.7309761,29.41781998,26.16051483,1750,69.22250366,1.671579957,0.718228281,801.4891968,42.27141953,370.1818848,108.3578796,170.8705902,200.4900055,150.4649963,0.097917654,153.2610016,181.5900726,190.8061523,169.5977631,0.92851001,1.513358951,0.215700001,0.50251925,1.425858259,0.284945995,0.720730901,0.603399813,0,313.0290988,18.95680173,2016,1825701.508,1384627.952,3.099958379,125.0684783,181.0858894,2.329192894,0.015456616,0.087016739,1.33349571,0.036921949,2.411943204
L1084299,13.3608947,103.857193,Cambodia,19,0.381756157,-0.1015625,15931.69141,4.202261886,0,27.17193794,9.393886566,0.56447202,0.005685095,34.7419014,18.10000038,16.64189911,27.3287468,25.71445084,29.17080307,24.67719269,1323,58.01800156,0.177424997,0.7783373,660.2114258,22.3486824,228.1495972,107.4803314,163.3101349,196.1900024,128.779007,0.131236762,138.3373108,181.2688446,184.1663055,169.25177,0.800075173,1.38893199,0.175861001,0.557103813,1.31176281,0.217906386,0.516216815,0.584477842,0,137.9855029,2.978011688,1993,1682017.468,1503155.99,2.178656223,221.8196429,124.4786353,9.023144163,0.051632282,0.757407167,2.348845156,0.285478529,3.464638187
L3712816,14.1941645,106.2638426,Cambodia,69,0.487143159,0.296875,3836.168945,3.583897725,0,26.712883,9.369623184,0.562011003,0.005013566,34.65159988,17.97999954,16.67160034,26.8435154,25.43408012,28.6585083,24.64525795,2262.999512,109.086998,0.406215012,0.948919952,1336.855225,23.11362457,359.3591919,54.44758224,159.6164856,196,125.6449966,0.127763197,135.4152374,173.6124573,182.2810822,161.5248413,0.986701548,1.90891695,0.175189003,0.660293221,1.834242105,0.208540544,0.660303116,0.458129853,1,1341.089576,NA,2019,1942603.445,1610688.755,5.502703434,210.277512,237.4097156,12.39106657,0.115734711,1.441754772,2.543300883,0.431182972,3.776096677
L1865896,10.7904206,104.0180515,Cambodia,400,16.21637535,-15.140625,954.8081055,2.979916097,0,25.13750648,7.396826744,0.69107908,0.002181248,30.37100029,19.66769981,10.70330048,24.99840355,24.51681519,26.11194992,24.40566063,2446.000244,94.00330353,4.143070221,0.676258326,1155.567139,98.05190277,550.2337036,140.045639,163.8045349,194.2050018,142.4880066,0.104318276,145.6954651,172.4790802,181.3623047,165.2923126,1.160590649,1.775109053,0.358660012,0.414824307,1.719895363,0.480026007,1.110637784,0.678819776,1,1551.568786,NA,1993,1711503.474,1214817.023,5.660093837,305.4236842,359.8417576,25.52982274,0.152081671,3.946835988,3.073725143,0.846056159,5.157389699
