station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L2215001,Cambodia,0.59,13,0.3671875,4.239126767,0,27.78927422,0,2553.178139,78.65526884,1807300.246,1302163.289,2.01161414,45.08333333,152.1317435,3.110587488,0.177181598,1.385651419,0.064847233,2.558240407
L1834392,Cambodia,0.59,119,-0.6171875,3.875713967,0,26.78991508,1,1908.727374,NA,1859418.042,1576132.133,5.727922344,256.4724576,226.3953385,11.93073555,1.050095376,2.592054314,0.337398144,3.794149755
L1834625,Cambodia,0.59,73,0.09375,4.024087185,0,27.17036247,1,4114.284962,NA,1792158.894,1577054.565,6.065968768,353.7473647,294.4595493,10.38945362,0.90647934,2.544385526,0.303873427,3.580190555
L3348868,Cambodia,0.59,100,0.1171875,4.018508954,0,27.0382061,0,5030.117777,1.634759521,1747024.964,1537387.707,3.655707955,127.3269231,254.2569525,4.60498557,0.686976531,1.751833084,0.244691514,2.897973577
L1346717,Cambodia,0.59,77,0.609375,4.107470458,0,27.08025551,0,375.338466,5.805752184,1722339.745,1516337.512,2.959376076,118,203.4798755,3.379167312,0.17225372,1.72025733,0.079120226,2.680689882
L3297129,Cambodia,0.59,40,0.2265625,4.170098228,0,27.468153,0,2904.057204,19.07465995,1611593.587,1470323.397,1.998639413,41.875,112.7576045,8.421913634,1.123185575,2.242048956,0.360887511,3.524981397
L1333393,Cambodia,0.59,20,0.453125,4.030627587,0,27.75872231,0,313.0290988,18.95680173,1825701.508,1384627.952,3.099958379,125.0684783,181.0858894,2.329192894,0.087016739,1.33349571,0.036921949,2.411943204
L1084299,Cambodia,0.59,19,-0.1015625,4.202261886,0,27.17193794,0,137.9855029,2.978011688,1682017.468,1503155.99,2.178656223,221.8196429,124.4786353,9.023144163,0.757407167,2.348845156,0.285478529,3.464638187
L3712816,Cambodia,0.59,69,0.296875,3.583897725,0,26.712883,1,1341.089576,NA,1942603.445,1610688.755,5.502703434,210.277512,237.4097156,12.39106657,1.441754772,2.543300883,0.431182972,3.776096677
L1865896,Cambodia,0.59,400,-15.140625,2.979916097,0,25.13750648,1,1551.568786,NA,1711503.474,1214817.023,5.660093837,305.4236842,359.8417576,25.52982274,3.946835988,3.073725143,0.846056159,5.157389699
L1859193,Cambodia,0.59,230,2.953125,4.188648477,0,25.67113113,1,2937.661078,NA,2033083.206,1385957.919,5.270237087,169.6904762,317.5350236,26.47267774,3.807237794,3.00978699,0.690123628,5.055862693
L3547245,Cambodia,0.59,21,0.1484375,4.220709048,0,27.75872231,0,313.0290988,19.62740042,1827112.092,1385159.234,2.967025442,130.3856494,169.0022118,4.952459835,0.344104733,1.82108309,0.153188432,2.885243525
L1865894,Cambodia,0.59,9,-0.09375,3.815513802,0,27.10101318,0,1551.568786,4.939543234,1730176.263,1194854.387,3.208036658,123.2608696,245.9254858,3.529930858,0.463112377,1.661699177,0.149999271,1.882012141
L4050097,Cambodia,0.59,20,-0.0625,4.105329058,0,27.78927422,0,2553.178139,69.63802365,1800309.382,1308015.833,2.429470264,71.07954545,189.0691472,4.368189554,1.110227886,1.799220003,0.278316068,2.968426914
L4043203,Cambodia,0.59,18,-0.1328125,4.221818043,0,27.78927422,0,2553.178139,71.97244745,1802313.09,1306771.532,1.951913179,99.33005618,105.4828439,4.412015918,0.500008807,1.860492418,0.166099539,2.978114099
L1428859,Cambodia,0.59,22,1.8984375,4.121401036,0,27.17193794,1,137.9855029,NA,1683069.802,1514591.672,4.084542073,186.2727273,188.5122692,9.784425936,2.752386541,2.34347888,0.518320603,3.899108737
L4050091,Cambodia,0.59,20,-0.0625,4.105329058,0,27.78927422,0,2553.178139,69.36700148,1800091.734,1308181.241,2.088554361,44.85454545,102.8434819,3.304535562,0.666646909,1.67145424,0.170765156,2.721920801
L4046319,Cambodia,0.59,20,-0.0625,4.105329058,0,27.78927422,0,2553.178139,69.29248186,1800165.124,1308413.491,2.424095477,79.89481947,185.2103688,2.58726217,0.393796531,1.523901574,0.095720013,2.513693642
L971358,Cambodia,0.59,19,0.0859375,3.053165744,0,27.34901619,0,128.2679504,1.576950703,1924200.565,1430317.1,3.706345179,153.9555556,247.5795177,4.245126772,0.332949163,1.643041694,0.120211479,2.813781586
L3991252,Cambodia,0.59,20,0.75,4.181392955,0,27.78927422,0,2553.178139,76.9417907,1808695.374,1307290.054,2.232230051,106.5915493,162.7684217,3.94156826,0.482100127,1.629584995,0.148319759,2.968304519
L4373747,Cambodia,0.59,17,-0.21875,4.182716918,0,27.78927422,0,2553.178139,71.80553981,1802548.393,1307397.04,2.072471951,27.72413793,107.0453785,4.033793481,0.537980296,1.778397302,0.168673911,2.891923564
L4076250,Cambodia,0.59,17,-0.21875,4.182716918,0,27.78927422,0,2553.178139,72.12265846,1802698.537,1307054.176,1.899276176,39.76756757,134.7103665,4.127960651,0.481593612,1.808762618,0.157190941,2.91596277
L3517482,Cambodia,0.59,12,-0.09375,4.101447674,0,27.81825829,0,2553.178139,67.98262163,1804200.346,1317539.666,4.113325208,134.5111111,299.5936821,2.599322205,0.095875264,1.399401437,0.045340584,0.891828318
L1229285,Cambodia,0.59,705,-2.4609375,4.022484755,0,22.49633217,0,7605.481972,4.870459378,2058347.571,1419093.629,2.265032299,216.4817814,219.2039573,4.639947277,0.53296993,1.914214865,0.172627645,2.923557518
L1320021,Cambodia,0.59,19,0.171875,4.2563708,0,27.78927422,0,2553.178139,75.72052839,1805814.618,1305179.993,3.645010343,140.0782548,248.1241802,6.009224145,0.450485254,1.98891646,0.166320026,3.271138859
L971293,Cambodia,0.59,15,0.2265625,4.229473358,0,27.17193794,1,137.9855029,NA,1685173.03,1511670.284,NA,NA,NA,9.072486917,2.177356713,2.326762059,0.515780501,3.772129679
L920991,Cambodia,0.59,15,1.734375,4.248571648,0,27.17193794,1,137.9855029,NA,1682816.898,1509003.277,NA,NA,NA,11.41467243,2.177158743,2.48442133,0.512185257,3.899825763
L1125873,Cambodia,0.59,17,-0.3125,4.163776984,0,27.17193794,1,137.9855029,NA,1681927.998,1510598.857,NA,NA,NA,9.334599744,1.534876266,2.285256319,0.383414675,3.64496989
L2959776,Cambodia,0.59,128,9.0234375,3.574175754,0,27.10101318,1,11.59137203,NA,1745087.11,1183322.046,3.816832768,143.4978632,297.5672878,17.83416268,2.977292375,2.795665451,0.631456747,4.621955058
L1424319,Cambodia,0.59,12,0,3.988986172,0,27.30144501,0,2904.057204,1.986248103,1678122.125,1496170.442,3.956871482,251.9027094,235.5992337,3.801374527,0.181745937,1.559877766,0.076142474,1.682764153
L3046338,Cambodia,0.59,22,0.125,4.17333787,0,27.78927422,0,2553.178139,78.09383319,1809541.381,1306456.743,NA,NA,NA,5.203177027,0.799519217,1.808566339,0.231476598,3.235355021
L1834599,Cambodia,0.59,12,0.0546875,4.085997895,0,27.29732132,0,2904.057204,2.848249809,1684449.929,1495787.266,4.19915826,267.2647436,277.2860082,3.239058525,0.26647341,1.332992813,0.109553764,1.597699772
L3765606,Cambodia,0.59,21,5.4140625,4.006417653,0,27.30144501,0,2904.057204,0.4460876,1677519.626,1494731.823,4.174357251,181.2901155,273.5681542,7.088168223,0.545311611,2.056680391,0.210740759,2.96166423
L920987,Cambodia,0.59,39,0.1015625,4.094829688,0,27.50157356,1,126.9876888,NA,1618452.264,1557504.959,5.975268119,262.8678038,223.0558359,4.0821132,0.217607188,1.728837501,0.109097128,1.83944527
L4943439,Cambodia,0.59,88,-0.140625,3.679637065,0,26.92899704,1,5030.117777,NA,1779050.638,1526774.398,NA,NA,NA,6.170807142,0.672561102,2.092446103,0.212056809,3.208369187
L3337619,Cambodia,0.59,2,0.15625,3.814483982,0,27.10101318,0,1551.568786,9.580342322,1734655.06,1193007.775,3.587081375,134.8484848,252.6310911,3.767764731,0.495500525,1.479477794,0.169482194,1.763827519
L4351000,Cambodia,0.59,17,0.03125,4.249525102,0,27.78927422,0,2553.178139,73.25591456,1803737.634,1306546.022,2.124279278,52.76190476,134.9005536,4.445564387,0.419087984,1.877691485,0.147531099,2.98284734
L4046344,Cambodia,0.59,19,-0.0234375,4.206577579,0,27.78927422,0,2553.178139,72.21374053,1802635.617,1306805.587,1.720576342,22.64583333,109.3372407,4.187405471,0.461953863,1.829178525,0.153943856,2.931203459
L1834571,Cambodia,0.59,18,-0.0703125,4.213628506,0,27.17193794,0,137.9855029,3.807364519,1682436.77,1502333.352,NA,NA,NA,9.618883829,0.92222669,2.399313777,0.335345238,3.632425149
L5059188,Cambodia,0.59,15,0.34375,4.066209961,0,27.74355316,0,2.88961965,50.19290804,1797006.321,1337271.954,3.551622046,124.8181818,243.5207353,2.751074784,0.086892052,1.452001784,0.042628338,2.480726412
L4190260,Cambodia,0.59,20,-0.0625,4.105329058,0,27.78927422,0,2553.178139,69.06157343,1799902.761,1308446.423,2.253503958,60.84615385,166.8143994,2.611938736,0.289713005,1.481284189,0.083654534,2.517360897
L5230512,Cambodia,0.59,20,0.3203125,4.197489711,0,27.78927422,0,2553.178139,78.79117985,1809637.07,1305309.571,1.910762266,27.32307692,138.2205593,7.931780382,1.159979165,2.072222676,0.335515976,3.59535972
L1320023,Cambodia,0.59,1,-0.6640625,NA,0,27.34546661,0,0.163796004,1.210739713,1655841.341,1192428.577,3.623242433,134.6923077,261.2896435,5.127359208,0.494362331,2.075792575,0.173216534,3.041191934
L1437433,Cambodia,0.59,21,-0.40625,4.042412757,0,27.34901619,0,128.2679504,7.481349936,1926450.994,1418194.998,4.989433414,209.609375,234.1134211,3.60359157,0.327028197,1.706869242,0.123680603,2.73815787
L3164656,Cambodia,0.59,918,2.7265625,3.884256453,0,22.49633217,0,7605.481972,4.859647078,2068191.997,1414008.088,5.73190757,275.5106732,288.4352613,3.38675276,0.41047632,1.776698518,0.108220748,2.685614849
L4373785,Cambodia,0.59,17,0.03125,4.215715307,0,27.78927422,0,2553.178139,71.34889822,1802111.98,1307576.386,2.541305176,109.3163842,146.9022228,4.24172891,0.681768943,1.798821406,0.207372175,2.935331628
L4342866,Cambodia,0.59,19,-0.0078125,4.089069732,0,27.78927422,0,2553.178139,68.70215116,1799833.478,1308974.989,2.651291625,64.68202765,209.9100293,2.312807723,0.105292145,1.425389507,0.038625742,2.406511347
L2041802,Cambodia,0.59,28,0,4.287681562,0,27.44736481,0,313.0290988,0.578058358,1748296.152,1467947.686,5.007592166,246.8742394,242.2294833,2.213830642,0.057634187,1.345409937,0.025166222,0.303418149
L4955523,Cambodia,0.59,37,0.3515625,4.070559378,0,27.60622787,0,353.9232665,62.23617434,1784582.717,1284631.996,3.419866716,110.4140625,235.2400515,3.355667591,0.151393077,1.682788642,0.068559949,2.64457283
L5744339,Cambodia,0.59,9,-0.0859375,4.167464048,0,27.73534012,0,83.45117614,79.31078777,1809346.299,1298715.681,3.204764227,154.1375,167.9592562,2.891434954,0.183981283,1.459993045,0.078020293,2.458223164
L3846527,Cambodia,0.59,67,0.109375,3.614069969,0,27.04289246,0,5030.117777,12.69548805,1688152.276,1564741.184,4.38534156,194.1636364,317.7068135,2.431035396,0.069010878,1.481009804,0.03309957,2.272347985
L4225511,Cambodia,0.59,11,-0.0859375,4.161102366,0,27.80958366,0,313.0290988,74.1754897,1818966.209,1315985.989,4.216311076,239.1299407,310.7363464,4.953624337,0.466097061,1.903295441,0.185170547,2.319078659
L1110389,Cambodia,0.59,15,-0.3125,3.296614047,0,27.37223625,1,2904.057204,NA,1649136.952,1481042.323,4.447448768,228.0675325,201.6279675,2.750637816,0.143765475,1.487905115,0.063911338,2.503350804
L4054662,Cambodia,0.59,8,-0.4296875,3.696326563,0,27.10101318,0,1551.568786,3.205665127,1729026.311,1197202.045,2.377422687,57.22727273,206.0961859,4.312929854,0.550054622,1.834398654,0.169285086,2.520635769
L3891059,Cambodia,0.59,1,-0.3671875,4.145473951,0,27.78927422,0,2553.178139,67.1227414,1802541.209,1316282.527,3.134245625,173.092437,242.2557245,2.648461043,0.212833043,1.327384389,0.070199926,0.745457516
L6651966,Cambodia,0.59,9,-0.0859375,4.167464048,0,27.73534012,0,83.45117614,78.93470144,1809365.648,1298332.729,3.514428241,135.0233871,242.6207644,2.573194633,0.136370669,1.387093481,0.057827495,2.429044488
L6818652,Cambodia,0.59,2,0.0859375,4.086637121,0,27.78927422,0,83.45117614,80.81450225,1813017.958,1300593.469,3.345674718,82.03921569,253.6987082,3.642147673,0.287454428,1.688287307,0.117644468,2.717456563
L4129597,Cambodia,0.59,21,-0.4765625,4.066822203,0,27.17193794,1,137.9855029,NA,1685634.101,1515082.733,2.857974238,65.81818182,150.2789628,7.606311293,1.438652789,2.189172615,0.421596591,3.514796228
L7016655,Cambodia,0.59,12,-0.25,4.073793003,0,27.75872231,0,313.0290988,19.77025329,1825514.118,1383309.783,2.146731233,42.1125,149.8724126,5.687975245,0.427484206,1.916934219,0.192567723,3.009488829
L7011020,Cambodia,0.59,43,0.78125,4.255856591,0,27.75872231,0,313.0290988,16.79610415,1826754.779,1389548.583,2.008586552,64.61388889,146.8073558,4.914663273,0.349849782,2.032470988,0.152138661,2.997032033
L7115394,Cambodia,0.59,2,-0.0234375,4.091834477,0,27.73534012,0,83.45117614,77.4490507,1815303.094,1297290.587,3.746113355,92.02745098,189.9703485,2.317602791,0.093757539,1.33699177,0.035126816,2.412958582
L1267663,Cambodia,0.59,350,2.4453125,3.307425677,0,26.32162476,1,375.338466,NA,1712323.782,1532742.802,4.799647541,183.6160714,286.9811384,9.806004454,1.977111735,2.375293838,0.474408053,3.780503932
L3517470,Cambodia,0.59,705,-0.1953125,3.695570253,0,25.71705055,1,353.9232665,NA,1714323.296,1275708.427,3.342529577,127.0909091,306.5454866,19.97187597,1.504630871,2.9727546,0.462537663,4.417139201
L2114198,Cambodia,0.59,18,-0.0859375,4.127930848,0,27.75872231,0,313.0290988,19.74612032,1824264.211,1382295.17,3.368087215,140.9047619,212.2008328,2.307668141,0.066828766,1.272433568,0.029906273,2.402559214
L3846512,Cambodia,0.59,26,-0.28125,4.128484431,0,27.34901619,0,128.2679504,4.418115715,1926131.039,1425720.533,4.849092154,169.7556818,255.8160275,5.770526586,0.639087829,1.972810594,0.226290475,3.065469661
L3491985,Cambodia,0.59,100,-0.1171875,3.694701921,0,26.83613968,1,1908.727374,NA,1838503.917,1592769.272,4.910696201,205.5822981,361.6926981,12.5694345,0.801146189,2.699964015,0.266818106,3.723550527
L2041803,Cambodia,0.59,93,0.765625,3.650582684,0,27.10450363,1,4114.284962,NA,1755823.27,1569004.241,6.110875865,211.6993802,268.2370915,12.31339413,0.464832832,2.65447515,0.200335458,3.564056835
L3734044,Cambodia,0.59,261,-0.3671875,4.438827131,0,25.67113113,1,2937.661078,NA,2033838.987,1386843.093,5.123239406,185.5941558,294.5507909,25.02435691,4.293121184,3.002325326,0.742912496,5.104990698
L3338404,Cambodia,0.59,19,-0.109375,3.828440515,0,27.54802895,1,313.0290988,NA,1750608.14,1465099.323,5.254665403,197.5735294,296.0667116,1.89152721,0.015534428,1.198987849,0.007415459,-0.134150288
L1865901,Cambodia,0.59,1,0,3.669726817,0,27.38512993,0,2904.057204,11.90516292,1680749.433,1475441.233,4.095557499,139.2225,184.6365455,3.496182566,0.269063094,1.518700768,0.105209541,2.019173985
L4429394,Cambodia,0.59,8,-0.0625,3.770176496,0,27.37223625,1,2904.057204,NA,1660750.324,1488797.517,4.016086117,195.5533499,215.9782582,5.498672052,0.414041067,1.930389536,0.179063165,2.781316579
L1834606,Cambodia,0.59,88,-4.0078125,4.502006642,0,26.92169571,1,375.338466,NA,1699048.162,1539826.646,4.68069199,184.2508013,300.3951799,6.582435483,1.509996018,2.127548698,0.360205615,3.070755832
L971362,Cambodia,0.59,10,-0.0234375,4.042407795,0,27.69236565,0,313.0290988,24.16460551,1796501.274,1427958.191,4.816506646,116.7012987,287.3856678,1.943984561,0.032287048,1.194482187,0.016000226,1.960726165
L3519306,Cambodia,0.59,520,-5.9296875,3.148967766,0,23.67516136,1,2937.661078,NA,2047970.536,1405929.273,5.461167338,251.5151515,394.9997725,21.0451073,3.010405779,2.941986588,0.613358504,4.723062813
L7773832,Cambodia,0.59,22,0.2109375,4.179946247,0,27.78927422,0,2553.178139,78.89008884,1809851.457,1305455.849,2.140756786,57.65234375,171.3496074,7.588795613,1.121677576,2.042213372,0.326217024,3.543793961
L1702135,Cambodia,0.59,70,0.2265625,4.146128399,0,27.00019836,0,4114.284962,4.502594355,1754726.524,1553987.7,4.730987079,214.2191358,326.1112491,5.395413602,0.483582375,1.984800505,0.168046538,2.935384278
L3594509,Cambodia,0.59,4,0.0390625,3.871198566,0,27.48620033,0,2904.057204,3.917656372,1690804.672,1434940.377,5.069551274,158.5234375,275.1295299,2.600212417,0.089772299,1.571114369,0.044087224,0.865871011
L2129865,Cambodia,0.59,46,-0.7578125,4.027530526,0,27.10101891,0,375.338466,3.265171141,1692680.434,1530730.413,4.715204762,203.4546875,242.0854576,4.821847858,0.510456674,1.823106609,0.194412593,2.826011305
L10997855,Cambodia,0.59,14,-0.1640625,4.211951493,0,27.78927422,0,2553.178139,79.94174893,1808097.105,1301054.208,1.942477232,131.4871795,124.487494,3.56675421,0.231297219,1.45437219,0.094496942,2.344796438
L10957210,Cambodia,0.59,16,0.2890625,4.160849687,0,27.78927422,0,2553.178139,71.44513649,1802539.731,1308022.036,1.775230719,175.3112513,111.3071661,4.101058693,0.667644071,1.76054504,0.204262887,2.894361329
L9897268,Cambodia,0.59,1,-0.3125,4.184147585,0,27.78927422,0,2553.178139,80.45560618,1811106.486,1304491.103,2.01029445,68.66844444,151.5120747,4.321053069,0.422889487,1.733457843,0.161347899,2.795493651
L11328103,Cambodia,0.59,2,0.640625,4.161297096,0,27.73534012,0,83.45117614,76.84795594,1813386.983,1296573.321,2.434118658,72.92261905,208.0851552,8.104144971,1.085580659,2.161864628,0.368832689,3.498464579
L11949896,Cambodia,0.59,16,0.0234375,4.18048099,0,27.78927422,0,2553.178139,70.85650113,1801742.864,1307914.696,2.268532871,39.4,131.225573,4.632083679,0.887884184,1.825887703,0.266939461,3.01240201
L12032467,Cambodia,0.59,13,-0.40625,4.217543214,0,27.78927422,0,2553.178139,72.69014951,1804823.145,1309187.188,2.099696485,75.47826087,131.5924148,6.673333554,0.851884441,2.03462622,0.285262085,3.398258949
