PI,region,study_area,station,lat_wgs84,long_wgs84,country,elev,slope,TPI,access,access_log10,Hansen_recentloss,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,PA,PA_size_km2,dist_to_PA,PA_year,utm_east,utm_north,maxFRic,asymptPD,SR.mean,rh_95_a0.pred,pavd_0_5.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
Azlan,Borneo,Baleh,Bal011,1.6031,113.79175,Malaysia,93,13.97671318,11.8515625,84.43011475,1.92649738,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,24.61132459,0,2865485.799,189619.2382,23.49986744,2.8015625,71.17857143,30.70230025,0.130377565,4.242615887,3.075466256,0.813388575,5.242426533
Azlan,Borneo,Baleh,Bal011a,1.59862,113.79143,Malaysia,91,12.20430756,-13.09375,650.0351563,2.812936845,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,24.14072018,0,2865453.337,189088.9644,57.63003668,4.585792824,32.13235294,30.59761669,0.130215336,4.260268884,3.073930655,0.814846664,5.24635623
Azlan,Borneo,Baleh,Bal012,1.6212,113.76448,Malaysia,93,10.6569252,6.1484375,1028.823364,3.012340818,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,27.44073309,0,2862217.446,191725.1313,17.95089677,3.29765625,10.96153846,30.11216958,0.130590052,4.07511374,3.016242955,0.774716754,5.14143647
Azlan,Borneo,Baleh,Bal012a,1.62128,113.76413,Malaysia,93,10.6569252,6.1484375,1028.823364,3.012340818,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,27.46239812,0,2862175.694,191734.1443,16.81451786,2.8046875,16.58585859,30.0938181,0.130546506,4.073432366,3.015116048,0.774186102,5.140552152
Azlan,Borneo,Baleh,Bal013,1.62595,113.77192,Malaysia,100,11.33620644,-3.1640625,946.5914917,2.976162597,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,27.66990465,0,2863096.795,192296.368,32.04884504,3.5609375,16.94285714,30.78995521,0.130165379,4.140812322,3.048230839,0.790407122,5.204581343
Azlan,Borneo,Baleh,Bal013a,1.62338,113.76538,Malaysia,93,10.6569252,6.1484375,1028.823364,3.012340818,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,27.63445008,0,2862321.777,191984.0738,66.15964099,3.75859375,22.93939394,30.32543534,0.130526443,4.092533693,3.023975973,0.778491736,5.158529368
Azlan,Borneo,Baleh,Bal014,1.59323,113.80173,Malaysia,91,9.760868073,-1.375,453.2709961,2.65635793,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,23.20135289,0,2866686.083,188464.4244,54.24769754,3.90546875,17.24285714,30.83274906,0.130507162,4.31572843,3.101625071,0.831490315,5.284066693
Azlan,Borneo,Baleh,Bal014a,1.59293,113.80113,Malaysia,91,9.760868073,-1.375,453.2709961,2.65635793,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,23.20752815,0,2866615.039,188428.1847,10.09340318,3.059895833,24.36764706,30.80845223,0.130463436,4.31487111,3.100446673,0.831080381,5.281996521
Azlan,Borneo,Baleh,Bal015,1.59613,113.7873,Malaysia,91,12.20430756,-13.09375,650.0351563,2.812936845,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,24.00136829,0,2864964.893,188789.258,12.73777411,2.2640625,14.58823529,30.39903817,0.130384744,4.253608459,3.061957126,0.809840504,5.223002026
Azlan,Borneo,Baleh,Bal015a,1.59628,113.78707,Malaysia,91,12.20430756,-13.09375,650.0351563,2.812936845,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,24.02463046,0,2864937.33,188806.7089,49.14327246,4.089648438,11.91666667,30.390042,0.130431869,4.251550506,3.061272515,0.809333664,5.222247305
Azlan,Borneo,Baleh,Bal016,1.57572,113.8087,Malaysia,100,7.503600597,-0.53125,72.330513,1.859321545,0,25.1342144,8.119667053,0.914315164,0.000659192,29.68059921,20.79999924,8.880599976,25.12039185,25.14920425,25.37712288,24.8810997,4148,95.47029877,55.37030029,0.138293564,1190.76709,821.7612305,1021.437927,1104.430542,152.7208862,166.6829987,133.2940063,0.060045052,144.5579224,157.6108398,162.2673798,143.674469,1.617219329,1.784685016,1.359298944,0.072687931,1.741030335,1.43893528,1.601969004,1.684513807,0,8228.034165,21.14109537,0,2867537.549,186401.9726,17.02750566,2.9734375,18.34482759,30.49530632,0.131641326,4.466619767,3.136549848,0.855594195,5.323510449
