study_area,station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,maxFRic,asymptPD,SR.mean,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
Baleh,Bal011,Malaysia,0.81,93,11.8515625,1.92649738,0,25.1342144,0,8228.034165,24.61132459,2865485.799,189619.2382,23.49986744,2.8015625,71.17857143,30.70230025,4.242615887,3.075466256,0.813388575,5.242426533
Baleh,Bal011a,Malaysia,0.81,91,-13.09375,2.812936845,0,25.1342144,0,8228.034165,24.14072018,2865453.337,189088.9644,57.63003668,4.585792824,32.13235294,30.59761669,4.260268884,3.073930655,0.814846664,5.24635623
Baleh,Bal012,Malaysia,0.81,93,6.1484375,3.012340818,0,25.1342144,0,8228.034165,27.44073309,2862217.446,191725.1313,17.95089677,3.29765625,10.96153846,30.11216958,4.07511374,3.016242955,0.774716754,5.14143647
Baleh,Bal012a,Malaysia,0.81,93,6.1484375,3.012340818,0,25.1342144,0,8228.034165,27.46239812,2862175.694,191734.1443,16.81451786,2.8046875,16.58585859,30.0938181,4.073432366,3.015116048,0.774186102,5.140552152
Baleh,Bal013,Malaysia,0.81,100,-3.1640625,2.976162597,0,25.1342144,0,8228.034165,27.66990465,2863096.795,192296.368,32.04884504,3.5609375,16.94285714,30.78995521,4.140812322,3.048230839,0.790407122,5.204581343
Baleh,Bal013a,Malaysia,0.81,93,6.1484375,3.012340818,0,25.1342144,0,8228.034165,27.63445008,2862321.777,191984.0738,66.15964099,3.75859375,22.93939394,30.32543534,4.092533693,3.023975973,0.778491736,5.158529368
Baleh,Bal014,Malaysia,0.81,91,-1.375,2.65635793,0,25.1342144,0,8228.034165,23.20135289,2866686.083,188464.4244,54.24769754,3.90546875,17.24285714,30.83274906,4.31572843,3.101625071,0.831490315,5.284066693
Baleh,Bal014a,Malaysia,0.81,91,-1.375,2.65635793,0,25.1342144,0,8228.034165,23.20752815,2866615.039,188428.1847,10.09340318,3.059895833,24.36764706,30.80845223,4.31487111,3.100446673,0.831080381,5.281996521
Baleh,Bal015,Malaysia,0.81,91,-13.09375,2.812936845,0,25.1342144,0,8228.034165,24.00136829,2864964.893,188789.258,12.73777411,2.2640625,14.58823529,30.39903817,4.253608459,3.061957126,0.809840504,5.223002026
Baleh,Bal015a,Malaysia,0.81,91,-13.09375,2.812936845,0,25.1342144,0,8228.034165,24.02463046,2864937.33,188806.7089,49.14327246,4.089648438,11.91666667,30.390042,4.251550506,3.061272515,0.809333664,5.222247305
Baleh,Bal016,Malaysia,0.81,100,-0.53125,1.859321545,0,25.1342144,0,8228.034165,21.14109537,2867537.549,186401.9726,17.02750566,2.9734375,18.34482759,30.49530632,4.466619767,3.136549848,0.855594195,5.323510449
Baleh,Bal016a,Malaysia,0.81,100,-2.2578125,2.883247691,0,25.1342144,0,8228.034165,21.83128349,2867028.133,186958.5593,21.25986842,3.334375,36.45454545,30.56520039,4.409602855,3.120679764,0.84645657,5.305185872
Baleh,Bal017,Malaysia,0.81,116,12.7421875,2.880995652,0,25.1342144,0,8228.034165,19.8681195,2868804.48,185588.2448,17.11507571,3.053125,17.18571429,29.6632764,4.57830162,3.144947803,0.87102636,5.319251225
Baleh,Bal017a,Malaysia,0.81,116,12.7421875,2.880995652,0,25.1342144,0,8228.034165,19.56877272,2869086.404,185384.1376,66.55842205,4.507552083,25.87878788,29.36896588,4.565690677,3.129868052,0.871035487,5.298869315
Baleh,Bal018,Malaysia,0.81,190,-7,2.873376735,0,24.5425396,0,8228.034165,16.80085698,2871524.571,183356.5481,23.23271394,3.7375,14.94285714,33.70368467,5.238285621,3.247757761,0.881488448,5.622427392
Baleh,Bal018a,Malaysia,0.81,198,15.8125,2.936189184,0,24.5425396,0,8228.034165,16.88305816,2871376.683,183378.6894,25.43280993,3.7703125,24.97916667,31.40228014,5.03837883,3.238772299,0.8718073,5.512638144
Baleh,Bal019,Malaysia,0.81,96,-7.7109375,2.967794127,0,25.1342144,0,8228.034165,15.13039831,2864601.636,178399.1125,34.41997447,4.073177083,42.8,27.10288305,4.074182491,3.069334881,0.816608282,5.045686271
Baleh,Bal019a,Malaysia,0.81,101,3.0546875,2.672116695,0,25.1342144,0,8228.034165,17.30837928,2862034.689,179538.3601,18.20714725,2.9765625,23.72727273,31.09003328,4.24283482,3.133546423,0.804004787,5.217694967
Baleh,Bal020,Malaysia,0.81,101,3.0546875,2.672116695,0,25.1342144,0,8228.034165,17.35143202,2861975.031,179553.1346,15.34848451,3.2921875,11.64761905,31.11541109,4.254119243,3.133800333,0.806394968,5.223975044
Baleh,Bal020a,Malaysia,0.81,96,-7.7109375,2.967794127,0,25.1342144,0,8228.034165,15.06927531,2864658.016,178355.9122,40.90949798,4.2203125,18.09090909,26.99079574,4.072520439,3.068150772,0.81821884,5.04265946
Baleh,BalNP001,Malaysia,0.81,410,1.7421875,2.770521399,0,23.44168282,0,8228.034165,11.26410743,2912581.141,184731.1301,0,1.125,5,32.87637462,4.279398956,3.168664141,0.851058612,5.419348947
Baleh,BalNP002,Malaysia,0.81,399,-10.0625,2.161707619,0,23.01250076,0,8228.034165,22.44077604,2931487.069,185726.8472,11.18108073,2.09375,6.92,36.4989939,4.76629291,3.219426324,0.877350167,5.636591746
Baleh,BalNP003,Malaysia,0.81,339,-9.0859375,3.152377862,0,23.01250076,0,8228.034165,22.0117097,2930445.122,186067.1481,0,1.125,5.92,35.63859803,4.874354762,3.200101349,0.885617157,5.611882309
Baleh,BalNP004,Malaysia,0.81,302,-9.5625,3.129199034,0,23.01250076,0,8228.034165,23.50411203,2932726.946,186103.4372,0,1.25,7.64,36.36076226,4.719328713,3.20797764,0.869951147,5.605506224
Baleh,BalNP005,Malaysia,0.81,427,-2.0859375,2.867632039,0,23.44168282,0,8228.034165,20.69482874,2928604.775,185774.436,0,1.84375,4.48,33.6933593,4.966250573,3.168968857,0.893541539,5.536062557
Baleh,BalNP006,Malaysia,0.81,319,-1.515625,2.837855932,0,24.4174118,0,8228.034165,9.606747446,2909265.709,183934.9002,10.84849641,2.01875,11.88461538,30.70721685,4.227003989,3.124127487,0.817839856,5.245623411
Baleh,BalNP007,Malaysia,0.81,426,-3.734375,2.800278103,0,24.4174118,0,8228.034165,8.661956712,2909720.28,182803.6356,0,1.125,6.961538462,32.45658889,4.568823287,3.16439663,0.866278215,5.400533588
Baleh,BalNP008,Malaysia,0.81,426,-3.734375,2.800278103,0,24.4174118,0,8228.034165,8.028510979,2909700.052,182109.7109,0,1.63125,3.96,33.85911167,4.665856587,3.184979076,0.870679819,5.478142382
Baleh,BalNP009,Malaysia,0.81,482,-11.8984375,2.714405283,0,24.4174118,0,8228.034165,7.223718599,2910142.851,181068.3772,0,1.96875,6.884615385,35.11178063,4.571241647,3.198897788,0.86197399,5.51485826
Baleh,BalNP010,Malaysia,0.81,277,-6.8359375,2.975277927,0,24.4174118,0,8228.034165,8.930920014,2907846.578,183392.3795,0,1,11.76923077,33.40158278,4.148364276,3.153585723,0.816798143,5.364694732
Baleh,BalNP011,Malaysia,0.81,482,1.484375,2.663721998,0,24.4174118,0,8228.034165,5.75011325,2908607.443,179863.2076,30.54213093,3.64140625,30.01923077,38.36499249,4.699442638,3.21921799,0.88293069,5.694059526
Baleh,BalNP012,Malaysia,0.81,183,-5.953125,3.155141805,0,24.4174118,0,8228.034165,9.949634395,2905926.66,184423.933,25.16399453,3.0515625,17.275,42.47836882,4.140410084,3.17990359,0.797291442,5.726257359
Baleh,BalNP013,Malaysia,0.81,243,2.953125,2.85625947,0,24.4174118,0,8228.034165,8.061270023,2903610.494,182295.4904,44.44473923,4.33125,29.42307692,40.2882876,4.246964801,3.193385454,0.822220529,5.710618382
Baleh,BalNP014,Malaysia,0.81,641,1.65625,2.537658831,0,23.01250076,0,8228.034165,33.12779309,2947510.432,182250.1174,43.33202452,4.126925223,22,34.81756971,5.02517921,3.205063208,0.892403527,5.591583829
Baleh,BalNP015,Malaysia,0.81,580,2.75,1.986037314,0,23.01250076,0,8228.034165,34.49473417,2949420.793,181429.9627,42.45815544,4.082393973,25,34.81618355,5.207120401,3.168174688,0.879772167,5.543393423
Baleh,BalNP016,Malaysia,0.81,641,1.65625,2.537658831,0,23.01250076,0,8228.034165,33.13126036,2947516.462,182245.4273,17.7635607,3.11640625,16.71428571,34.81777027,5.025151266,3.204977074,0.892403716,5.591408729
Baleh,BalNP017,Malaysia,0.81,641,1.65625,2.537658831,0,23.01250076,0,8228.034165,33.11432189,2947502.249,182232.2049,NA,NA,NA,34.86023651,5.024537672,3.205717642,0.892463038,5.593809806
Baleh,BalNP018,Malaysia,0.81,550,12.6796875,2.636141787,0,23.01250076,0,8228.034165,32.92095381,2947311.777,182148.1976,NA,NA,NA,35.26162273,5.018770435,3.213051909,0.893108583,5.616155219
Baleh,BalNP019,Malaysia,0.81,482,1.484375,2.663721998,0,24.4174118,0,8228.034165,5.728347365,2908607.686,179839.4949,NA,NA,NA,38.31867885,4.701076317,3.218696239,0.882991569,5.692149199
UluBaram,Bar001,Malaysia,0.81,1510,3.0703125,2.210546181,0,21.06974792,0,12808.36857,6.321718321,3072014.972,420672.2597,12.48136195,3.3578125,20.82352941,36.1300362,4.817376475,3.277688659,0.899906697,5.834939324
UluBaram,Bar002,Malaysia,0.81,890,-4.6953125,2.198442585,0,21.06974792,0,12808.36857,4.389575805,3069581.538,434727.5342,17.93514079,2.8984375,29.88970588,28.82874135,4.170215976,3.206445302,0.847251222,5.392319787
UluBaram,Bar003,Malaysia,0.81,470,2.1015625,2.743263905,0,20.22792435,0,669.8557035,1.550079906,3058394.982,449247.9169,47.24312548,3.871679688,22.87352941,34.14657288,3.980079474,3.085321635,0.791228862,5.27791172
UluBaram,Bar004,Malaysia,0.81,2030,0.765625,2.363261191,0,23.61271858,0,12808.36857,19.42725219,3032424.507,383174.7604,0,1.5,13.82857143,29.39466775,3.941092825,3.054644638,0.767135058,5.216630421
UluBaram,Bar005,Malaysia,0.81,1841,-10.8828125,2.453572138,0,23.61271858,0,12808.36857,16.05289395,3031592.657,378568.6019,15.7908952,3.1015625,17.18571429,31.53755907,3.969895419,3.089057774,0.78520553,5.322769516
UluBaram,Bar006,Malaysia,0.81,1904,-2.2265625,2.780553615,0,23.61271858,0,12808.36857,16.88081475,3031805.93,379756.0529,21.2418539,3.6078125,15.24285714,30.94998553,3.96025726,3.078150076,0.77945934,5.295080297
UluBaram,Bar007,Malaysia,0.81,1275,-5.140625,2.68481439,0,23.2333889,0,12808.36857,13.91069391,3053548,383672.169,41.2782459,3.790104167,17.18382353,12.2835662,2.012178148,2.472528424,0.501809894,3.840162509
UluBaram,Bar008,Malaysia,0.81,1272,-0.2578125,2.278922447,0,20.79046631,0,12808.36857,0.751889204,3067680.313,385771.1466,9.326556162,2.809895833,22.21176471,30.83108387,4.433592349,3.154096409,0.83001891,5.391978767
UluBaram,Bar009,Malaysia,0.81,199,6.2109375,2.205992445,0,25.00913811,0,942.5879321,14.81482016,3021912.668,459144.6729,46.71885226,3.143229167,16.87428571,43.63721463,4.633846964,3.242793221,0.873418081,5.883473622
